Enact Holdings Price to Free Cash Flow Ratio Historical Data,Enact Holdings Price to Free Cash Flow Ratio Historical Data,Enact Holdings Price to Free Cash Flow Ratio Historical Data,Enact Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,36.93,,6.16
2024-06-30,30.66,$6.00,5.11
2024-03-31,31.18,$6.05,5.16
2023-12-31,28.89,$5.49,5.26
2023-03-31,22.86,$3.18,7.19
2022-12-31,24.12,$3.43,7.03
2022-09-30,22.17,$3.45,6.43
2022-06-30,21.37,$2.62,8.16
2022-03-31,22.0,$2.73,8.06
2021-12-31,20.44,$3.51,5.82
