Telecom Argentina Stet - France Telecom S.A Price to Free Cash Flow Ratio Historical Data,Telecom Argentina Stet - France Telecom S.A Price to Free Cash Flow Ratio Historical Data,Telecom Argentina Stet - France Telecom S.A Price to Free Cash Flow Ratio Historical Data,Telecom Argentina Stet - France Telecom S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.57,,3.15
2024-06-30,7.23,$2.72,2.66
2024-03-31,7.95,$3.00,2.65
2023-12-31,7.15,$3.13,2.28
2023-09-30,4.79,$2.17,2.21
2023-06-30,6.09,$1.89,3.22
2023-03-31,4.99,$1.85,2.7
2022-12-31,5.45,$1.74,3.14
2022-09-30,4.01,$1.39,2.89
2022-06-30,4.55,$1.42,3.19
2022-03-31,6.01,$1.35,4.44
2021-12-31,5.1,$1.38,3.7
2021-09-30,4.95,$1.37,3.61
2021-06-30,4.94,$1.36,3.63
2021-03-31,5.13,$1.77,2.9
2020-12-31,6.09,$1.62,3.77
2020-09-30,2.89,$1.66,1.74
2020-06-30,3.96,$1.72,2.3
2020-03-31,4.08,$1.37,2.97
2019-12-31,5.02,$1.58,3.18
2019-09-30,4.13,$0.98,4.21
2019-06-30,7.12,$0.63,11.25
2019-03-31,5.88,$0.22,27.14
2018-12-31,6.27,$0.24,26.61
2018-09-30,7.02,$0.78,8.97
2018-06-30,7.15,$1.04,6.88
2018-03-31,12.62,$2.05,6.14
2017-12-31,13.77,$2.69,5.12
2017-09-30,11.25,$3.12,3.61
2017-06-30,9.24,$3.02,3.07
2017-03-31,8.09,$1.82,4.46
2016-12-31,6.63,$0.64,10.3
2016-09-30,6.68,$-0.12,0.0
2016-06-30,6.52,$-0.47,0.0
2016-03-31,6.28,$0.80,7.86
2015-12-31,5.64,$0.96,5.9
2015-09-30,5.11,$-0.79,0.0
2015-06-30,6.32,$2.00,3.15
2015-03-31,7.8,$0.70,11.1
2014-12-31,6.64,$0.53,12.6
2014-09-30,6.97,$3.19,2.18
2014-06-30,7.94,$1.31,6.08
2014-03-31,6.21,$2.89,2.15
2013-12-31,5.61,$3.60,1.56
2013-09-30,5.63,$4.06,1.39
2013-06-30,4.67,$4.75,0.98
2013-03-31,4.55,$2.91,1.56
2012-12-31,3.57,$2.89,1.24
2012-09-30,3.14,$3.36,0.93
2012-06-30,3.71,$4.02,0.92
2012-03-31,5.22,$3.91,1.34
2011-12-31,5.27,$4.02,1.31
2011-09-30,5.49,$3.10,1.77
2011-06-30,7.68,$2.53,3.03
2011-03-31,6.97,$2.58,2.71
2010-12-31,7.0,$2.53,2.76
2010-09-30,5.85,$2.44,2.4
2010-06-30,4.53,$1.80,2.52
2010-03-31,4.95,$3.12,1.59
2009-12-31,4.45,$2.51,1.78
