First Citizens BancShares Price to Free Cash Flow Ratio Historical Data,First Citizens BancShares Price to Free Cash Flow Ratio Historical Data,First Citizens BancShares Price to Free Cash Flow Ratio Historical Data,First Citizens BancShares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,2085.27,,11.97
2024-06-30,1682.25,$174.16,9.66
2024-03-31,1632.1,$209.85,7.78
2023-12-31,1414.98,$156.40,9.05
2023-09-30,1374.65,$173.38,7.93
2023-06-30,1277.68,$126.97,10.06
2023-03-31,968.15,$109.41,8.85
2022-12-31,753.74,$173.44,4.35
2022-09-30,791.83,$119.03,6.65
2022-06-30,648.82,$101.42,6.4
2022-03-31,660.1,$-10.65,0.0
2021-12-31,822.49,$-35.55,0.0
2021-09-30,835.23,$-32.98,0.0
2021-06-30,824.41,$-38.16,0.0
2021-03-31,826.95,$38.84,21.29
2020-12-31,567.9,$27.05,21.0
2020-09-30,315.0,$27.62,11.4
2020-06-30,399.77,$32.39,12.34
2020-03-31,328.23,$32.25,10.18
2019-12-31,524.19,$43.37,12.09
2019-09-30,464.09,$36.42,12.74
2019-06-30,442.78,$4.75,93.15
2019-03-31,400.06,$2.62,152.75
2018-12-31,370.09,$28.75,12.87
2018-09-30,443.46,$25.07,17.69
2018-06-30,395.14,$51.04,7.74
2018-03-31,404.55,$51.94,7.79
2017-12-31,394.22,$26.16,15.07
2017-09-30,365.43,$22.89,15.96
2017-06-30,363.95,$23.34,15.6
2017-03-31,327.22,$20.57,15.91
2016-12-31,346.08,$15.29,22.64
2016-09-30,286.27,$17.11,16.73
2016-06-30,251.93,$17.70,14.23
2016-03-31,244.0,$18.46,13.22
2015-12-31,250.6,$18.67,13.42
2015-09-30,219.1,$29.64,7.39
2015-06-30,254.69,$16.80,15.16
2015-03-31,251.14,$18.66,13.46
2014-12-31,244.18,$18.49,13.2
2014-09-30,209.01,$12.94,16.15
2014-06-30,236.07,$31.73,7.44
2014-03-31,231.71,$38.29,6.05
2013-12-31,213.99,$42.89,4.99
2013-09-30,197.35,$35.93,5.49
2013-06-30,184.07,$26.46,6.96
2013-03-31,174.85,$27.92,6.26
2012-12-31,156.21,$25.41,6.15
2012-09-30,155.24,$30.16,5.15
2012-06-30,158.54,$13.93,11.38
2012-03-31,173.48,$13.03,13.31
2011-12-31,165.89,$38.03,4.36
2011-09-30,135.84,$26.25,5.17
2011-06-30,176.83,$39.54,4.47
2011-03-31,189.14,$34.99,5.41
2010-12-31,178.0,$16.15,11.02
2010-09-30,174.16,$23.54,7.4
2010-06-30,180.5,$27.11,6.66
2010-03-31,186.26,$27.21,6.84
2009-12-31,153.47,$7.95,19.3
