Brookfield Business Partners Price to Free Cash Flow Ratio Historical Data,Brookfield Business Partners Price to Free Cash Flow Ratio Historical Data,Brookfield Business Partners Price to Free Cash Flow Ratio Historical Data,Brookfield Business Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,23.98,,0.0
2024-06-30,18.79,$-7.43,0.0
2024-03-31,22.03,$-0.65,0.0
2023-12-31,20.46,$-1.01,0.0
2023-09-30,15.05,$-4.22,0.0
2023-06-30,16.99,$-5.88,0.0
2023-03-31,18.3,$-3.08,0.0
2022-12-31,16.61,$-7.38,0.0
2022-09-30,18.99,$-2.31,0.0
2022-06-30,20.62,$-5.99,0.0
2022-03-31,29.82,$-0.79,0.0
2021-12-31,29.05,$4.69,6.2
2021-09-30,28.91,$16.53,1.75
2021-06-30,29.09,$23.00,1.26
2021-03-31,25.24,$30.84,0.82
2020-12-31,23.54,$35.42,0.66
2020-09-30,18.87,$22.34,0.84
2020-06-30,19.28,$17.35,1.11
2020-03-31,15.85,$17.20,0.92
2019-12-31,25.68,$14.71,1.75
2019-09-30,24.41,$28.91,0.84
2019-06-30,23.76,$25.91,0.92
2019-03-31,24.49,$14.30,1.71
2018-12-31,18.78,$13.60,1.38
2018-09-30,28.29,$-1.98,0.0
2018-06-30,23.61,$4.11,5.74
2018-03-31,22.19,$-6.82,0.0
2017-12-31,21.23,$-5.28,0.0
2017-09-30,18.2,$-1.48,0.0
2017-06-30,16.57,$-7.69,0.0
2017-03-31,15.06,$2.68,5.61
