Silicon Laboratories Price to Free Cash Flow Ratio Historical Data,Silicon Laboratories Price to Free Cash Flow Ratio Historical Data,Silicon Laboratories Price to Free Cash Flow Ratio Historical Data,Silicon Laboratories Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,116.1,,0.0
2024-06-30,110.63,$-2.68,0.0
2024-03-31,143.72,$-3.35,0.0
2023-12-31,132.27,$-1.65,0.0
2023-09-30,115.89,$-2.00,0.0
2023-06-30,157.74,$0.36,434.43
2023-03-31,175.09,$0.52,334.91
2022-12-31,135.67,$3.18,42.61
2022-09-30,123.44,$3.86,32.02
2022-06-30,140.22,$3.46,40.48
2022-03-31,150.2,$4.02,37.35
2021-12-31,206.42,$1.41,146.08
2021-09-30,140.16,$-0.12,0.0
2021-06-30,153.25,$-1.15,0.0
2021-03-31,141.07,$-2.43,0.0
2020-12-31,127.34,$-0.61,0.0
2020-09-30,97.85,$-2.43,0.0
2020-06-30,100.27,$-0.84,0.0
2020-03-31,85.41,$0.76,111.88
2019-12-31,115.98,$0.16,746.81
2019-09-30,111.35,$3.25,34.27
2019-06-30,103.4,$4.06,25.49
2019-03-31,80.86,$3.62,22.36
2018-12-31,78.81,$3.38,23.28
2018-09-30,91.8,$3.94,23.28
2018-06-30,99.6,$3.18,31.37
2018-03-31,89.9,$3.63,24.75
2017-12-31,88.3,$4.09,21.58
2017-09-30,79.9,$3.48,22.94
2017-06-30,68.35,$3.15,21.71
2017-03-31,73.55,$1.46,50.31
2016-12-31,65.0,$0.91,71.3
2016-09-30,58.8,$1.57,37.44
2016-06-30,48.74,$0.80,61.28
2015-12-31,48.54,$2.19,22.13
2015-09-30,41.55,$3.80,10.92
2015-06-30,54.01,$3.63,14.88
2015-03-31,50.77,$4.37,11.63
2014-12-31,47.62,$4.18,11.38
2016-03-31,44.96,$3.28,13.71
2014-09-30,40.64,$2.89,14.08
2014-06-30,49.25,$-0.89,0.0
2014-03-31,52.25,$2.95,17.69
2013-12-31,43.31,$2.52,17.19
2013-09-30,42.71,$2.21,19.33
2013-06-30,41.41,$3.82,10.83
2013-03-31,41.36,$-0.06,0.0
2012-12-31,41.8,$-0.12,0.0
2012-09-30,36.76,$0.10,365.41
2012-06-30,37.85,$2.16,17.54
2012-03-31,43.0,$2.45,17.57
2011-12-31,43.42,$1.79,24.32
2011-09-30,33.54,$1.88,17.81
2011-06-30,41.26,$1.65,25.03
2011-03-31,43.21,$1.49,28.93
2010-12-31,46.02,$2.23,20.67
2010-09-30,36.65,$2.57,14.26
2010-06-30,40.56,$2.95,13.73
2010-03-31,47.67,$2.85,16.73
2009-12-31,48.38,$2.41,20.1
