SoFi Technologies Price to Free Cash Flow Ratio Historical Data,SoFi Technologies Price to Free Cash Flow Ratio Historical Data,SoFi Technologies Price to Free Cash Flow Ratio Historical Data,SoFi Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.87,,0.0
2024-06-30,6.61,$-2.97,0.0
2024-03-31,7.3,$-4.69,0.0
2023-12-31,9.95,$-7.78,0.0
2023-09-30,7.99,$-10.24,0.0
2023-06-30,8.34,$-10.61,0.0
2023-03-31,6.07,$-9.36,0.0
2022-12-31,4.61,$-8.17,0.0
2022-09-30,4.88,$-7.83,0.0
2022-06-30,5.27,$-5.02,0.0
2022-03-31,9.45,$-6.74,0.0
2021-12-31,15.81,$-2.66,0.0
2021-09-30,15.88,$-0.19,0.0
