West Fraser Timber Price to Free Cash Flow Ratio Historical Data,West Fraser Timber Price to Free Cash Flow Ratio Historical Data,West Fraser Timber Price to Free Cash Flow Ratio Historical Data,West Fraser Timber Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,97.59,,27.44
2024-06-30,76.87,$3.56,21.62
2024-03-31,86.43,$2.12,40.72
2023-12-31,85.58,$0.58,148.34
2023-09-30,72.54,$5.20,13.95
2023-06-30,85.98,$12.34,6.97
2023-03-31,71.24,$14.83,4.8
2022-12-31,72.29,$17.51,4.13
2022-06-30,76.73,$22.93,3.35
2022-03-31,82.12,$27.03,3.04
2021-12-31,94.75,$26.76,3.54
2021-09-30,83.52,$19.10,4.37
2021-06-30,70.9,$21.64,3.28
2021-03-31,71.05,$13.65,5.2
2020-12-31,61.69,$13.53,4.56
2022-09-30,72.49,$20.07,3.61
