AZEK Price to Free Cash Flow Ratio Historical Data,AZEK Price to Free Cash Flow Ratio Historical Data,AZEK Price to Free Cash Flow Ratio Historical Data,AZEK Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,43.45,,32.0
2024-06-30,42.13,$1.36,31.03
2024-03-31,50.22,$1.25,40.26
2023-12-31,38.25,$1.75,21.88
2023-09-30,29.74,$1.82,16.36
2023-06-30,30.29,$1.26,23.98
2023-03-31,23.54,$0.85,27.55
2022-12-31,20.32,$0.04,559.78
2022-09-30,16.62,$-0.42,0.0
2022-06-30,16.74,$-0.29,0.0
2022-03-31,24.84,$-0.54,0.0
2021-12-31,46.24,$-0.36,0.0
2021-09-30,36.53,$0.21,175.54
2021-06-30,42.46,$0.41,103.36
2021-03-31,42.05,$-0.39,0.0
