Air Lease Price to Free Cash Flow Ratio Historical Data,Air Lease Price to Free Cash Flow Ratio Historical Data,Air Lease Price to Free Cash Flow Ratio Historical Data,Air Lease Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,45.0,,0.0
2024-06-30,47.3,$-3.11,0.0
2024-03-31,51.19,$-3.84,0.0
2023-12-31,41.55,$-9.84,0.0
2023-09-30,38.84,$-5.77,0.0
2023-06-30,41.04,$-22.27,0.0
2023-03-31,38.42,$-23.22,0.0
2022-12-31,37.29,$-18.11,0.0
2022-09-30,29.94,$-20.15,0.0
2022-06-30,32.12,$-20.02,0.0
2022-03-31,42.69,$-15.46,0.0
2021-12-31,42.1,$-15.01,0.0
2021-09-30,37.28,$-17.73,0.0
2021-06-30,39.4,$-15.77,0.0
2021-03-31,46.09,$-11.51,0.0
2020-12-31,41.65,$-12.60,0.0
2020-09-30,27.48,$-4.37,0.0
2020-06-30,27.23,$-10.60,0.0
2020-03-31,20.49,$-19.90,0.0
2019-12-31,43.54,$-21.68,0.0
2019-09-30,38.2,$-28.33,0.0
2019-06-30,37.65,$-22.16,0.0
2019-03-31,31.18,$-22.51,0.0
2018-12-31,27.32,$-18.96,0.0
2018-09-30,41.33,$-17.32,0.0
2018-06-30,37.73,$-15.30,0.0
2018-03-31,38.23,$-7.02,0.0
2017-12-31,43.04,$-9.71,0.0
2017-09-30,38.06,$-7.25,0.0
2017-06-30,33.3,$-8.86,0.0
2017-03-31,34.47,$-11.03,0.0
2016-12-31,30.48,$-8.89,0.0
2016-09-30,25.32,$-9.52,0.0
2016-06-30,23.69,$-11.17,0.0
2016-03-31,28.36,$-10.86,0.0
2015-12-31,29.52,$-11.87,0.0
2015-09-30,27.22,$-10.30,0.0
2015-06-30,29.8,$-11.05,0.0
2015-03-31,33.14,$-11.96,0.0
2014-12-31,30.1,$-9.41,0.0
2014-09-30,28.48,$-12.28,0.0
2014-06-30,33.78,$-10.90,0.0
2014-03-31,32.62,$-10.56,0.0
2013-12-31,27.17,$-14.06,0.0
2013-09-30,24.16,$-13.74,0.0
2013-06-30,24.07,$-13.27,0.0
2013-03-31,25.56,$-17.20,0.0
2012-12-31,18.73,$-17.22,0.0
2012-09-30,17.77,$-25.50,0.0
2012-06-30,16.89,$-28.20,0.0
2012-03-31,20.96,$-34.59,0.0
