ZoomInfo Technologies Price to Free Cash Flow Ratio Historical Data,ZoomInfo Technologies Price to Free Cash Flow Ratio Historical Data,ZoomInfo Technologies Price to Free Cash Flow Ratio Historical Data,ZoomInfo Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.4,,9.58
2024-06-30,12.77,$1.09,11.76
2024-03-31,16.03,$1.05,15.32
2023-12-31,18.49,$1.03,18.0
2023-09-30,16.4,$1.01,16.27
2023-06-30,25.39,$1.00,25.28
2023-03-31,24.71,$0.97,25.45
2022-12-31,30.11,$0.96,31.3
2022-09-30,41.66,$0.62,67.54
2022-06-30,33.24,$0.48,69.35
2022-03-31,59.74,$0.40,148.98
2021-12-31,64.2,$0.62,104.12
2021-09-30,61.19,$1.06,57.55
2021-06-30,52.17,$0.89,58.62
2021-03-31,48.9,$1.03,47.58
