Gold Fields Price to Free Cash Flow Ratio Historical Data,Gold Fields Price to Free Cash Flow Ratio Historical Data,Gold Fields Price to Free Cash Flow Ratio Historical Data,Gold Fields Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.24,,0.0
2018-06-30,3.01,$-0.12,0.0
2017-06-30,2.88,$-0.00,0.0
2016-12-31,2.46,$0.04,65.9
2015-12-31,2.24,$0.19,11.71
2015-09-30,2.15,$-1.00,0.0
2015-06-30,2.61,$0.27,9.75
2015-03-31,3.24,$-0.32,0.0
2014-12-31,3.65,$0.19,19.03
2014-09-30,3.14,$1.38,2.27
2017-12-31,3.59,$0.07,55.19
2014-06-30,2.98,$0.61,4.85
2014-03-31,2.96,$-0.17,0.0
2013-12-31,2.55,$-0.26,0.0
2013-09-30,3.64,$0.14,26.28
2013-06-30,4.18,$-0.23,0.0
2013-03-31,6.18,$0.22,28.39
2012-12-31,9.85,$0.26,37.54
2012-09-30,10.14,$0.10,102.29
2012-06-30,9.95,$0.94,10.57
2012-03-31,10.8,$0.93,11.57
2011-12-31,11.61,$1.05,11.06
2011-09-30,11.66,$0.92,12.64
2011-06-30,11.01,$0.16,67.11
2011-03-31,13.18,$0.25,51.79
2010-12-31,13.61,$0.19,72.82
2010-09-30,11.46,$0.04,270.36
2010-06-30,9.97,$0.52,19.0
2010-03-31,9.41,$0.39,24.02
2009-12-31,9.72,$-0.05,0.0
2009-09-30,10.21,$-0.08,0.0
2009-06-30,8.85,$-0.28,0.0
2009-03-31,8.33,$-0.37,0.0
2023-12-31,14.08,0,0.0
2023-06-30,13.28,0,0.0
2022-12-31,9.72,0,0.0
2022-06-30,8.38,0,0.0
2021-12-31,9.99,0,0.0
2021-06-30,7.96,0,0.0
2020-12-31,8.11,0,0.0
2020-06-30,8.16,0,0.0
