Equity Lifestyle Properties Price to Free Cash Flow Ratio Historical Data,Equity Lifestyle Properties Price to Free Cash Flow Ratio Historical Data,Equity Lifestyle Properties Price to Free Cash Flow Ratio Historical Data,Equity Lifestyle Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,70.13,,40.6
2024-06-30,64.69,$1.73,37.46
2024-03-31,63.5,$1.41,44.91
2023-12-31,69.04,$1.13,60.89
2023-09-30,61.97,$0.84,73.53
2023-06-30,64.61,$0.68,94.47
2023-03-31,64.41,$0.50,129.13
2022-12-31,61.56,$0.44,138.93
2022-09-30,59.51,$0.49,122.12
2022-06-30,66.3,$-0.13,0.0
2022-03-31,71.55,$0.12,588.89
2021-12-31,81.55,$-1.21,0.0
2021-09-30,72.35,$-2.15,0.0
2021-06-30,68.54,$-1.39,0.0
2021-03-31,58.42,$-1.29,0.0
2020-12-31,57.83,$0.05,1072.93
2020-09-30,55.64,$1.11,50.07
2020-06-30,56.39,$0.24,233.39
2020-03-31,51.6,$0.09,573.93
2019-12-31,62.79,$0.41,154.84
2019-09-30,59.32,$-0.03,0.0
2019-06-30,53.64,$0.33,160.2
2019-03-31,50.27,$0.41,123.87
2018-12-31,42.49,$-0.01,0.0
2018-09-30,41.95,$-0.19,0.0
2018-06-30,39.74,$0.28,144.47
2018-03-31,37.73,$0.46,82.72
2017-12-31,38.03,$0.62,61.58
2017-09-30,36.15,$1.28,28.17
2017-06-30,36.47,$1.28,28.58
2017-03-31,32.37,$0.82,39.57
2016-12-31,30.09,$0.73,41.36
2016-09-30,32.02,$0.80,39.86
2016-06-30,33.03,$0.79,41.59
2016-03-31,29.84,$1.23,24.24
2015-12-31,27.19,$1.28,21.23
2015-09-30,23.75,$1.11,21.37
2015-06-30,21.19,$1.07,19.84
2015-03-31,21.98,$1.01,21.84
2014-12-31,20.49,$0.78,26.27
2014-09-30,16.73,$0.95,17.54
2014-06-30,17.3,$1.20,14.41
2014-03-31,15.81,$1.14,13.88
2013-12-31,13.98,$1.27,11.04
2013-09-30,13.09,$1.09,11.97
2013-06-30,14.95,$0.81,18.37
2013-03-31,14.52,$0.81,17.83
2012-12-31,12.63,$0.80,15.88
2012-09-30,12.71,$-0.09,0.0
2012-06-30,12.78,$-1.25,0.0
2012-03-31,12.84,$-3.34,0.0
2011-12-31,12.2,$-3.33,0.0
2011-09-30,11.41,$-2.41,0.0
2011-06-30,11.29,$-1.29,0.0
2011-03-31,10.37,$0.83,12.54
2010-12-31,9.99,$0.81,12.38
2010-09-30,9.68,$0.95,10.23
2010-06-30,8.52,$0.91,9.4
2010-03-31,9.46,$0.83,11.37
2009-12-31,8.82,$0.88,10.06
