FTAI Aviation Price to Free Cash Flow Ratio Historical Data,FTAI Aviation Price to Free Cash Flow Ratio Historical Data,FTAI Aviation Price to Free Cash Flow Ratio Historical Data,FTAI Aviation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,145.29,,0.0
2024-06-30,102.93,$-4.51,0.0
2024-03-31,66.85,$-3.60,0.0
2023-12-31,45.86,$-1.48,0.0
2023-09-30,34.88,$-1.64,0.0
2023-06-30,30.8,$-0.32,0.0
2023-03-31,26.9,$-1.09,0.0
2022-12-31,16.28,$-3.91,0.0
2022-09-30,14.02,$-8.20,0.0
2022-06-30,17.77,$-6.98,0.0
2022-03-31,23.22,$-6.43,0.0
2021-12-31,25.71,$-6.55,0.0
2021-09-30,22.27,$-1.72,0.0
2021-06-30,29.1,$-5.33,0.0
2021-03-31,24.15,$-6.37,0.0
2020-12-31,19.89,$-5.25,0.0
2020-09-30,14.25,$-7.07,0.0
2020-06-30,10.6,$-5.99,0.0
2020-03-31,6.43,$-5.33,0.0
2019-12-31,14.86,$-5.81,0.0
2019-09-30,11.29,$-5.11,0.0
2019-06-30,11.01,$-6.42,0.0
2019-03-31,12.22,$-8.15,0.0
2018-12-31,10.05,$-6.58,0.0
2018-09-30,12.49,$-6.84,0.0
2018-06-30,12.19,$-5.19,0.0
2018-03-31,10.55,$-4.40,0.0
2017-12-31,12.91,$-5.04,0.0
2017-09-30,11.48,$-3.81,0.0
2017-06-30,9.95,$-4.42,0.0
2017-03-31,9.12,$-2.95,0.0
2016-12-31,7.96,$-2.69,0.0
2016-09-30,7.31,$-2.55,0.0
2016-06-30,5.22,$-3.10,0.0
2016-03-31,5.46,$-3.79,0.0
