GoDaddy Price to Free Cash Flow Ratio Historical Data,GoDaddy Price to Free Cash Flow Ratio Historical Data,GoDaddy Price to Free Cash Flow Ratio Historical Data,GoDaddy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,164.42,,20.84
2024-06-30,139.71,$7.89,17.71
2024-03-31,118.68,$7.15,16.59
2023-12-31,106.16,$6.72,15.79
2023-09-30,74.48,$6.01,12.39
2023-06-30,75.13,$5.72,13.14
2023-03-31,77.72,$5.85,13.29
2022-12-31,74.82,$5.70,13.13
2022-09-30,70.88,$5.48,12.94
2022-06-30,69.56,$5.07,13.72
2022-03-31,83.7,$4.75,17.61
2021-12-31,84.86,$4.55,18.66
2021-09-30,69.7,$4.55,15.33
2021-06-30,86.96,$4.30,20.23
2021-03-31,77.62,$4.13,18.79
2020-12-31,82.95,$4.14,20.04
2020-09-30,75.97,$4.07,18.69
2020-06-30,73.33,$3.94,18.59
2020-03-31,57.11,$3.80,15.01
2019-12-31,67.92,$3.50,19.41
2019-09-30,65.98,$3.21,20.57
2019-06-30,70.15,$3.06,22.93
2019-03-31,75.19,$2.79,26.92
2018-12-31,65.62,$2.60,25.21
2018-09-30,83.39,$2.53,32.91
2018-06-30,70.6,$2.40,29.42
2018-03-31,61.42,$1.89,32.48
2017-12-31,50.28,$2.22,22.69
2017-09-30,43.51,$4.40,9.89
2017-06-30,42.42,$3.08,13.77
2017-03-31,37.9,$3.76,10.08
2016-12-31,34.95,$4.07,8.59
2016-09-30,34.53,$2.39,14.43
2016-06-30,31.19,$4.12,7.58
2016-03-31,32.33,$4.84,6.68
