Osisko Gold Royalties Price to Free Cash Flow Ratio Historical Data,Osisko Gold Royalties Price to Free Cash Flow Ratio Historical Data,Osisko Gold Royalties Price to Free Cash Flow Ratio Historical Data,Osisko Gold Royalties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.04,,25.68
2024-06-30,15.53,$0.78,19.9
2024-03-31,16.31,$0.77,21.28
2023-12-31,14.15,$0.75,18.91
2023-09-30,11.6,$0.19,59.72
2023-06-30,15.12,$0.32,47.3
2023-03-31,15.52,$0.03,476.04
2022-12-31,11.81,$-0.10,0.0
2022-09-30,9.93,$0.13,76.3
2022-06-30,9.81,$-0.25,0.0
2022-03-31,12.76,$-0.27,0.0
2021-12-31,11.81,$-0.39,0.0
2021-09-30,10.79,$-0.25,0.0
2021-06-30,13.11,$-0.08,0.0
2021-03-31,10.51,$0.05,197.63
2020-12-31,12.05,$0.17,72.96
2020-09-30,11.21,$0.18,61.46
2020-06-30,9.45,$0.26,36.59
2020-03-31,7.0,$0.35,20.17
2019-12-31,9.1,$0.43,21.37
2019-09-30,8.68,$0.49,17.81
2019-06-30,9.7,$0.43,22.68
2019-03-31,10.41,$0.42,24.66
2018-12-31,8.1,$0.42,19.14
2018-09-30,6.98,$0.46,15.02
2018-06-30,8.66,$0.33,26.57
2018-03-31,8.81,$0.31,27.97
2017-12-31,10.48,$0.29,36.64
2017-09-30,11.67,$0.24,49.4
2017-06-30,11.01,$0.50,21.88
