Companhia De Saneamento Basico Do Estado De Sao Paulo - Sabesp Price to Free Cash Flow Ratio Historical Data,Companhia De Saneamento Basico Do Estado De Sao Paulo - Sabesp Price to Free Cash Flow Ratio Historical Data,Companhia De Saneamento Basico Do Estado De Sao Paulo - Sabesp Price to Free Cash Flow Ratio Historical Data,Companhia De Saneamento Basico Do Estado De Sao Paulo - Sabesp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.36,,8.98
2024-06-30,13.45,$1.82,7.38
2024-03-31,16.54,$1.68,9.87
2023-12-31,14.97,$1.38,10.85
2023-09-30,11.91,$1.27,9.38
2023-06-30,11.64,$1.02,11.4
2023-03-31,9.55,$1.04,9.15
2022-12-31,10.17,$1.10,9.22
2022-09-30,8.69,$0.85,10.22
2022-06-30,7.62,$1.02,7.46
2022-03-31,9.2,$0.94,9.79
2021-12-31,6.87,$1.05,6.56
2021-09-30,6.62,$1.25,5.29
2021-06-30,6.92,$1.16,5.98
2021-03-31,6.79,$1.29,5.27
2020-12-31,7.96,$1.40,5.68
2020-09-30,7.69,$1.48,5.19
2020-06-30,9.73,$1.64,5.95
2020-03-31,6.6,$1.69,3.89
2019-12-31,13.46,$1.53,8.82
2019-09-30,10.63,$1.47,7.24
2019-06-30,10.89,$1.40,7.76
2019-03-31,9.23,$1.44,6.4
2018-12-31,7.04,$1.52,4.64
2018-09-30,5.15,$1.57,3.27
2018-06-30,5.24,$1.55,3.39
2018-03-31,8.99,$1.45,6.2
2017-12-31,8.88,$1.50,5.9
2017-09-30,8.88,$1.42,6.26
2017-06-30,8.09,$1.43,5.66
2017-03-31,8.54,$1.33,6.43
2016-12-31,7.12,$1.25,5.7
2016-09-30,7.6,$1.30,5.86
2016-06-30,7.35,$1.28,5.73
2016-03-31,5.36,$1.19,4.52
2015-12-31,3.73,$1.16,3.23
2015-09-30,3.15,$1.15,2.74
2015-06-30,4.2,$1.26,3.34
2015-03-31,4.31,$1.37,3.16
2014-12-31,5.0,$1.63,3.08
2014-09-30,6.45,$1.74,3.71
2014-06-30,8.53,$1.68,5.09
2014-03-31,7.09,$1.90,3.74
2013-12-31,8.68,$1.86,4.66
2013-09-30,7.62,$1.78,4.29
2013-06-30,7.97,$1.77,4.49
2013-03-31,11.88,$1.79,6.63
2012-12-31,10.21,$1.74,5.88
2012-09-30,9.92,$1.99,4.99
2012-06-30,9.27,$2.04,4.53
2012-03-31,9.36,$2.23,4.19
2011-12-31,6.62,$2.26,2.93
2011-09-30,5.51,$3.26,1.69
2011-06-30,7.09,$2.69,2.64
2011-03-31,6.98,$2.10,3.32
2010-12-31,6.29,$1.79,3.5
2010-09-30,5.2,$-0.13,0.0
2010-03-31,4.2,$0.11,37.39
2009-12-31,4.45,$0.10,44.17
2009-09-30,4.22,$-0.03,0.0
