Rocket Lab USA Price to Free Cash Flow Ratio Historical Data,Rocket Lab USA Price to Free Cash Flow Ratio Historical Data,Rocket Lab USA Price to Free Cash Flow Ratio Historical Data,Rocket Lab USA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.68,,0.0
2024-06-30,4.8,$-0.31,0.0
2024-03-31,4.11,$-0.36,0.0
2023-12-31,5.53,$-0.39,0.0
2023-09-30,4.38,$-0.35,0.0
2023-03-31,4.04,$-0.33,0.0
2022-12-31,3.77,$-0.32,0.0
2022-09-30,4.07,$-0.44,0.0
2022-06-30,3.79,$-0.11,0.0
2022-03-31,8.05,$-0.29,0.0
2021-12-31,12.28,$-0.46,0.0
2021-09-30,16.13,$-0.15,0.0
2021-06-30,10.89,$-0.54,0.0
