Legend Biotech Price to Free Cash Flow Ratio Historical Data,Legend Biotech Price to Free Cash Flow Ratio Historical Data,Legend Biotech Price to Free Cash Flow Ratio Historical Data,Legend Biotech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,43.09,,846.56
2024-03-31,56.09,$0.05,1101.96
2023-12-31,60.17,$-0.35,0.0
2023-09-30,67.17,$-2.58,0.0
2023-03-31,48.22,$-2.62,0.0
2022-09-30,40.8,$-2.04,0.0
2022-03-31,36.34,$-1.98,0.0
2021-12-31,46.61,$-1.71,0.0
2021-09-30,50.56,$-1.90,0.0
2021-06-30,41.05,$-1.93,0.0
2021-03-31,29.02,$-2.59,0.0
