Madrigal Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Madrigal Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Madrigal Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Madrigal Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,210.47,,0.0
2024-06-30,280.16,$-22.02,0.0
2024-03-31,267.04,$-20.28,0.0
2023-12-31,231.38,$-17.43,0.0
2023-09-30,146.04,$-16.64,0.0
2023-06-30,231.0,$-15.56,0.0
2023-03-31,242.26,$-14.84,0.0
2022-12-31,290.25,$-13.13,0.0
2022-09-30,64.99,$-12.70,0.0
2022-06-30,71.58,$-11.96,0.0
2022-03-31,98.12,$-11.31,0.0
2021-12-31,84.74,$-11.14,0.0
2021-09-30,79.79,$-11.73,0.0
2021-06-30,97.41,$-12.11,0.0
2021-03-31,116.97,$-10.97,0.0
2020-12-31,111.17,$-10.22,0.0
2020-09-30,118.73,$-7.47,0.0
2020-06-30,113.25,$-5.11,0.0
2020-03-31,66.76,$-4.29,0.0
2019-12-31,91.11,$-2.71,0.0
2019-09-30,86.22,$-2.37,0.0
2019-06-30,104.81,$-1.93,0.0
2019-03-31,125.26,$-1.54,0.0
2018-12-31,112.72,$-1.73,0.0
2018-09-30,214.13,$-1.76,0.0
2018-06-30,279.69,$-1.85,0.0
2018-03-31,116.79,$-2.13,0.0
2017-12-31,91.79,$-1.83,0.0
2017-09-30,44.98,$-3.24,0.0
2017-06-30,16.26,$13.32,1.22
2017-03-31,15.4,$-1.08,0.0
2016-12-31,14.9,$-3.25,0.0
2016-09-30,12.68,$-7.82,0.0
2016-06-30,9.11,$-26.25,0.0
2016-03-31,8.4,$-14.80,0.0
2015-12-31,12.32,$-18.37,0.0
2015-09-30,60.9,$-20.20,0.0
2015-06-30,78.05,$-22.41,0.0
2015-03-31,67.9,$-25.82,0.0
2014-12-31,92.75,$-28.07,0.0
2014-09-30,105.35,$-28.20,0.0
2014-06-30,143.15,$-32.15,0.0
2014-03-31,150.85,$-35.42,0.0
2013-12-31,183.4,$-38.51,0.0
2013-09-30,220.85,$-38.01,0.0
2013-06-30,174.65,$-36.51,0.0
2013-03-31,301.0,$-34.00,0.0
2012-12-31,315.7,$-32.16,0.0
2012-09-30,266.7,$-33.51,0.0
2012-06-30,191.45,$-34.58,0.0
2012-03-31,153.65,$-34.41,0.0
2011-12-31,163.45,$-35.55,0.0
2011-09-30,113.75,$-33.42,0.0
2011-06-30,176.05,$-32.78,0.0
2011-03-31,184.1,$-32.74,0.0
2010-12-31,214.2,$-33.21,0.0
2010-09-30,139.65,$-33.31,0.0
2010-06-30,94.5,$-34.51,0.0
2010-03-31,150.85,$-51.32,0.0
2009-12-31,177.1,$-27.94,0.0
