Canadian National Railway Price to Free Cash Flow Ratio Historical Data,Canadian National Railway Price to Free Cash Flow Ratio Historical Data,Canadian National Railway Price to Free Cash Flow Ratio Historical Data,Canadian National Railway Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,114.44,,27.22
2024-06-30,117.27,$4.20,27.9
2024-03-31,130.11,$4.36,29.84
2023-12-31,123.49,$4.39,28.12
2023-09-30,105.97,$4.12,25.73
2023-06-30,117.8,$4.93,23.88
2023-03-31,114.19,$4.51,25.32
2022-12-31,114.51,$4.38,26.16
2022-09-30,103.58,$4.20,24.64
2022-06-30,107.37,$4.46,24.05
2022-03-31,127.41,$4.51,28.26
2021-12-31,116.16,$4.58,25.34
2021-09-30,108.94,$4.45,24.5
2021-06-30,99.0,$3.29,30.1
2021-03-31,108.32,$3.45,31.37
2020-12-31,102.15,$3.46,29.55
2020-09-30,98.59,$2.77,35.56
2020-06-30,81.68,$2.93,27.84
2020-03-31,71.25,$2.45,29.14
2019-12-31,82.56,$2.15,38.47
2019-09-30,81.65,$2.33,35.01
2019-06-30,83.66,$2.16,38.69
2019-03-31,80.59,$2.65,30.38
2018-12-31,66.44,$2.70,24.61
2018-09-30,80.17,$2.39,33.49
2018-06-30,72.7,$2.63,27.62
2018-03-31,64.76,$2.40,27.02
2017-12-31,72.7,$2.90,25.1
2017-09-30,72.72,$3.24,22.41
2017-06-30,70.84,$2.98,23.78
2017-03-31,64.37,$2.81,22.89
2016-12-31,58.43,$2.51,23.26
2016-09-30,56.47,$2.46,22.94
2016-06-30,50.77,$2.51,20.24
2016-03-31,53.43,$2.30,23.21
2015-12-31,47.57,$2.40,19.86
2015-09-30,48.12,$1.90,25.38
2015-06-30,48.74,$1.96,24.88
2015-03-31,56.2,$2.42,23.26
2014-12-31,57.7,$2.31,24.96
2014-09-30,59.23,$2.51,23.63
2014-06-30,54.1,$2.41,22.48
2014-03-31,46.6,$2.26,20.63
2013-12-31,47.08,$1.89,24.93
2013-09-30,41.7,$1.65,25.33
2013-06-30,39.84,$1.64,24.24
2013-03-31,40.91,$1.83,22.37
2012-12-31,36.97,$1.90,19.46
2012-09-30,35.69,$1.73,20.63
2012-06-30,33.99,$1.87,18.2
2012-03-31,31.85,$1.55,20.56
2011-12-31,31.35,$1.95,16.11
2011-09-30,26.46,$2.30,11.49
2011-06-30,31.61,$1.67,18.91
2011-03-31,29.65,$1.67,17.73
2010-12-31,26.07,$1.65,15.78
2010-09-30,25.0,$2.35,10.64
2010-06-30,22.32,$1.70,13.11
2010-03-31,23.46,$1.44,16.34
2009-12-31,20.94,$1.03,20.39
