Weatherford Price to Free Cash Flow Ratio Historical Data,Weatherford Price to Free Cash Flow Ratio Historical Data,Weatherford Price to Free Cash Flow Ratio Historical Data,Weatherford Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,91.76,,10.86
2024-06-30,122.45,$8.45,14.49
2024-03-31,115.42,$9.53,12.11
2023-12-31,97.83,$8.80,11.12
2023-09-30,90.33,$6.92,13.06
2023-06-30,66.42,$6.93,9.58
2023-03-31,59.35,$5.43,10.92
2022-12-31,50.92,$4.15,12.26
2022-09-30,32.29,$2.48,13.03
2022-06-30,21.17,$2.22,9.55
2022-03-31,33.3,$3.06,10.89
