AngloGold Ashanti Price to Free Cash Flow Ratio Historical Data,AngloGold Ashanti Price to Free Cash Flow Ratio Historical Data,AngloGold Ashanti Price to Free Cash Flow Ratio Historical Data,AngloGold Ashanti Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.52,,90.22
2024-06-30,25.13,$0.33,76.8
2023-12-31,18.69,$-0.22,0.0
2023-03-31,24.14,$-0.43,0.0
2022-03-31,22.99,$-0.23,0.0
2021-03-31,21.12,$0.36,58.23
2020-03-31,15.67,$0.68,23.1
2019-03-31,12.27,$4.70,2.61
2015-12-31,6.52,$1.17,5.55
2015-09-30,7.52,$0.37,20.45
2015-06-30,8.22,$0.48,17.15
2015-03-31,8.58,$-3.46,0.0
2014-12-31,7.99,$0.51,15.72
2014-09-30,11.02,$1.00,11.03
2014-06-30,15.8,$0.65,24.21
2014-03-31,15.68,$-0.32,0.0
2013-12-31,10.76,$-0.60,0.0
2013-09-30,12.19,$-1.22,0.0
2013-06-30,13.13,$-1.48,0.0
2013-03-31,21.55,$-0.49,0.0
2012-12-31,28.65,$0.11,251.49
2012-09-30,31.95,$1.14,27.97
2012-06-30,31.18,$2.46,12.68
2012-03-31,33.4,$3.08,10.86
2011-12-31,38.16,$3.16,12.09
2011-09-30,37.1,$1.21,30.76
2011-06-30,37.65,$-3.61,0.0
2011-03-31,42.89,$-3.92,0.0
2010-12-31,43.93,$-4.62,0.0
2010-09-30,41.26,$-2.10,0.0
2010-06-30,38.45,$-0.23,0.0
2010-03-31,33.79,$1.73,19.54
2009-12-31,35.69,$1.71,20.87
