GitLab Price to Free Cash Flow Ratio Historical Data,GitLab Price to Free Cash Flow Ratio Historical Data,GitLab Price to Free Cash Flow Ratio Historical Data,GitLab Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,54.43,,134.23
2024-07-31,51.23,$0.41,126.34
2024-04-30,52.47,$0.53,99.49
2024-01-31,71.11,$0.22,328.0
2023-10-31,43.28,$-0.03,0.0
2023-07-31,49.63,$-0.00,0.0
2023-04-30,30.36,$-0.43,0.0
2023-01-31,49.41,$-0.56,0.0
2022-10-31,48.46,$-0.42,0.0
2022-07-31,57.4,$-1.13,0.0
