Construction Partners Price to Free Cash Flow Ratio Historical Data,Construction Partners Price to Free Cash Flow Ratio Historical Data,Construction Partners Price to Free Cash Flow Ratio Historical Data,Construction Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,75.43,,201.15
2024-06-30,55.21,$0.38,147.23
2024-03-31,56.15,$-0.14,0.0
2023-09-30,36.56,$2.18,16.76
2023-06-30,31.39,$-0.31,0.0
2023-03-31,26.94,$-0.27,0.0
2022-12-31,26.69,$-0.77,0.0
2022-09-30,26.23,$-1.69,0.0
2023-12-31,43.52,$-0.43,0.0
2022-06-30,20.94,$-0.66,0.0
2022-03-31,26.18,$-0.16,0.0
2021-12-31,29.41,$-0.19,0.0
2021-09-30,33.37,$-0.08,0.0
2021-06-30,31.4,$0.31,102.55
2021-03-31,29.88,$0.86,34.62
2020-12-31,29.11,$1.31,22.16
2020-09-30,18.2,$1.08,16.89
2020-06-30,17.76,$0.78,22.75
2020-03-31,16.89,$0.33,51.89
2019-12-31,16.87,$0.03,553.11
2019-09-30,15.58,$0.34,46.45
2019-06-30,15.02,$0.55,27.27
2019-03-31,12.77,$0.38,33.31
