Armstrong World Industries Price to Free Cash Flow Ratio Historical Data,Armstrong World Industries Price to Free Cash Flow Ratio Historical Data,Armstrong World Industries Price to Free Cash Flow Ratio Historical Data,Armstrong World Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,141.19,,42.26
2024-06-30,112.98,$3.34,33.82
2024-03-31,123.63,$3.52,35.11
2023-12-31,97.63,$3.34,29.22
2023-09-30,71.24,$3.35,21.27
2023-06-30,72.44,$2.73,26.54
2023-03-31,69.99,$2.31,30.36
2022-12-31,67.17,$2.32,28.96
2022-09-30,77.32,$1.94,39.89
2022-06-30,72.96,$1.93,37.73
2022-03-31,87.38,$2.21,39.53
2021-12-31,112.44,$2.24,50.1
2021-09-30,92.25,$2.95,31.32
2021-06-30,103.43,$3.67,28.15
2021-03-31,86.7,$3.71,23.36
2020-12-31,71.42,$3.86,18.48
2020-09-30,65.84,$3.49,18.87
2020-06-30,74.38,$3.11,23.95
2020-03-31,75.57,$2.54,29.78
2019-12-31,89.25,$2.25,39.66
2019-09-30,91.65,$1.80,50.79
2019-06-30,92.12,$1.71,53.73
2019-03-31,75.27,$2.22,33.84
2018-12-31,55.04,$2.52,21.84
2018-09-30,65.64,$3.00,21.9
2018-06-30,59.6,$2.75,21.7
2018-03-31,53.1,$2.06,25.77
2017-12-31,57.1,$1.50,38.14
2017-09-30,48.33,$1.18,40.98
2017-06-30,43.38,$0.90,48.2
2017-03-31,43.43,$0.41,104.95
2016-12-31,39.42,$-1.00,0.0
2016-09-30,38.97,$-1.66,0.0
2016-06-30,36.92,$-1.40,0.0
2016-03-31,39.52,$-0.06,0.0
2015-12-31,37.36,$0.59,63.4
2015-09-30,39.01,$1.42,27.42
2015-06-30,43.53,$1.36,31.97
2015-03-31,46.96,$0.17,269.4
2014-12-31,41.77,$-0.11,0.0
2014-09-30,45.76,$-1.05,0.0
2014-06-30,46.92,$-0.47,0.0
2014-03-31,43.51,$-0.08,0.0
2013-12-31,47.07,$0.13,359.6
2013-09-30,44.91,$0.63,71.84
2013-06-30,39.05,$0.61,63.81
2013-03-31,45.67,$0.67,68.64
2012-12-31,41.45,$0.64,65.24
2012-09-30,37.89,$0.72,52.29
2012-06-30,40.17,$0.42,95.05
2012-03-31,39.85,$0.73,54.68
2011-12-31,30.5,$0.93,32.84
2011-09-30,23.94,$1.14,21.09
2011-06-30,31.67,$1.25,25.27
2011-03-31,32.17,$1.91,16.81
2010-12-31,29.89,$2.15,13.93
2010-09-30,21.6,$2.47,8.76
2010-06-30,15.7,$3.12,5.03
2010-03-31,18.89,$3.13,6.04
2009-12-31,20.25,$2.77,7.32
