Suzano S.A Price to Free Cash Flow Ratio Historical Data,Suzano S.A Price to Free Cash Flow Ratio Historical Data,Suzano S.A Price to Free Cash Flow Ratio Historical Data,Suzano S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.72,,0.0
2024-06-30,10.27,$-0.15,0.0
2024-03-31,12.78,$-0.49,0.0
2023-12-31,11.36,$-0.24,0.0
2023-09-30,10.51,$-0.00,0.0
2023-06-30,9.01,$0.05,177.73
2023-03-31,8.02,$0.53,15.23
2022-12-31,9.03,$0.74,12.28
2022-09-30,7.78,$0.75,10.31
2022-06-30,8.93,$2.06,4.35
2022-03-31,10.83,$2.08,5.22
2021-12-31,9.95,$2.20,4.51
2021-09-30,9.21,$2.17,4.24
2021-03-31,11.25,$1.54,7.29
2020-12-31,10.3,$1.21,8.51
2020-09-30,7.52,$0.37,20.15
2020-06-30,6.23,$0.96,6.49
2020-03-31,6.33,$0.80,7.9
2019-12-31,9.06,$0.55,16.5
2021-06-30,11.09,$1.50,7.41
