F&G Annuities & Life Price to Free Cash Flow Ratio Historical Data,F&G Annuities & Life Price to Free Cash Flow Ratio Historical Data,F&G Annuities & Life Price to Free Cash Flow Ratio Historical Data,F&G Annuities & Life Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.45,,1.01
2024-06-30,38.05,$44.08,0.86
2024-03-31,40.55,$47.13,0.86
2023-12-31,46.0,$46.83,0.98
2023-09-30,28.06,$53.84,0.52
