Robinhood Markets Price to Free Cash Flow Ratio Historical Data,Robinhood Markets Price to Free Cash Flow Ratio Historical Data,Robinhood Markets Price to Free Cash Flow Ratio Historical Data,Robinhood Markets Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.32,,0.0
2024-06-30,22.71,$-0.64,0.0
2024-03-31,20.13,$-0.32,0.0
2023-12-31,12.74,$1.30,9.78
2023-09-30,9.81,$0.42,23.38
2023-06-30,9.98,$1.24,8.06
2023-03-31,9.71,$-0.60,0.0
2022-12-31,8.14,$-1.03,0.0
2022-09-30,10.1,$-2.14,0.0
2022-06-30,8.22,$-2.95,0.0
