Taiwan Semiconductor Manufacturing Price to Free Cash Flow Ratio Historical Data,Taiwan Semiconductor Manufacturing Price to Free Cash Flow Ratio Historical Data,Taiwan Semiconductor Manufacturing Price to Free Cash Flow Ratio Historical Data,Taiwan Semiconductor Manufacturing Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,205.84,,46.85
2024-06-30,173.18,$4.39,39.42
2024-03-31,135.13,$2.88,46.84
2023-12-31,102.89,$1.84,55.79
2023-09-30,85.57,$1.33,64.35
2023-06-30,98.87,$1.80,55.03
2023-03-31,90.76,$3.08,29.44
2022-12-31,72.31,$3.32,21.79
2022-09-30,66.18,$3.30,20.03
2022-06-30,78.47,$2.56,30.62
2022-03-31,99.53,$1.67,59.75
2021-09-30,105.66,$2.12,49.89
2021-06-30,113.25,$1.82,62.15
2021-03-31,111.06,$0.13,843.31
2020-12-31,102.01,$2.10,48.51
2020-09-30,75.52,$0.96,78.94
2020-06-30,52.6,$0.59,88.48
2021-12-31,114.34,$2.41,47.38
2020-03-31,43.95,$0.59,75.08
2019-12-31,52.93,$1.00,52.97
2019-09-30,42.04,$1.23,34.11
2019-06-30,35.18,$1.08,32.44
2019-03-31,35.63,$1.52,23.39
2018-12-31,32.11,$1.63,19.71
2018-09-30,38.42,$2.10,18.33
2018-06-30,31.81,$-0.95,0.0
2018-03-31,36.75,$1.88,19.52
2017-12-31,33.3,$1.66,20.07
2017-09-30,31.54,$1.13,27.95
2017-06-30,29.36,$4.20,6.98
2017-03-31,26.73,$1.14,23.52
2016-12-31,23.4,$1.26,18.56
2016-09-30,24.9,$1.23,20.3
2016-06-30,21.35,$1.32,16.13
2016-03-31,20.55,$1.49,13.78
2015-12-31,17.84,$1.66,10.75
2015-09-30,16.27,$1.89,8.61
2015-06-30,17.81,$1.92,9.29
2015-03-31,17.84,$1.60,11.18
2014-12-31,17.0,$0.81,20.92
2014-09-30,15.33,$0.39,39.12
2014-06-30,15.9,$0.38,42.07
2014-03-31,14.88,$0.31,48.76
2013-12-31,12.96,$0.39,33.45
2013-09-30,12.61,$0.41,30.84
2013-06-30,13.32,$0.11,118.02
2013-03-31,12.5,$0.18,67.73
2012-12-31,12.48,$0.29,43.64
2012-09-30,11.51,$0.36,31.85
2012-06-30,9.86,$0.51,19.5
2012-03-31,10.8,$0.44,24.47
2011-12-31,9.12,$0.22,40.69
2011-09-30,8.08,$0.10,84.57
2011-06-30,8.91,$0.11,79.06
2011-03-31,8.33,$0.10,81.11
2010-12-31,8.58,$0.26,32.62
2010-09-30,6.93,$0.22,31.36
2010-06-30,6.43,$0.18,35.4
2010-03-31,6.91,$0.29,24.17
2009-12-31,7.54,$0.42,17.88
