"Grupo Aeroportuario Del Pacifico, S.A De C.V Price to Free Cash Flow Ratio Historical Data","Grupo Aeroportuario Del Pacifico, S.A De C.V Price to Free Cash Flow Ratio Historical Data","Grupo Aeroportuario Del Pacifico, S.A De C.V Price to Free Cash Flow Ratio Historical Data","Grupo Aeroportuario Del Pacifico, S.A De C.V Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,172.2,,44.07
2023-12-31,171.17,$3.91,43.81
2023-09-30,155.96,$4.15,37.59
2023-06-30,167.59,$2.74,61.16
2023-03-31,180.9,$4.24,42.69
2022-12-31,133.34,$4.00,33.32
2022-09-30,114.98,$4.81,23.9
2022-06-30,126.59,$5.58,22.68
2022-03-31,142.44,$5.92,24.04
2021-12-31,121.45,$5.84,20.8
2021-09-30,102.76,$4.58,22.45
2021-06-30,91.45,$0.89,102.39
2021-03-31,89.99,$-1.35,0.0
2020-12-31,95.21,$0.37,258.52
2020-09-30,68.99,$2.67,25.82
2020-06-30,61.44,$4.81,12.78
2020-03-31,46.15,$6.58,7.01
2019-12-31,101.47,$5.63,18.03
2019-09-30,80.88,$4.61,17.53
2019-06-30,85.5,$7.07,12.09
2019-03-31,72.92,$5.03,14.51
2018-12-31,66.84,$4.70,14.22
2018-09-30,87.16,$6.43,13.55
2018-06-30,72.58,$2.64,27.49
2018-03-31,77.84,$4.54,17.16
2017-12-31,80.27,$4.28,18.75
2017-09-30,78.86,$1.87,42.21
2017-06-30,85.13,$4.00,21.28
2017-03-31,73.61,$3.93,18.74
2016-12-31,62.56,$3.86,16.21
2016-09-30,71.27,$4.36,16.36
2016-06-30,76.12,$3.87,19.68
2016-03-31,65.8,$4.39,14.98
2015-12-31,65.48,$4.26,15.38
2015-09-30,63.8,$3.15,20.28
2015-06-30,49.65,$4.03,12.31
2015-03-31,46.39,$3.38,13.71
2014-12-31,44.73,$3.81,11.73
2014-09-30,47.73,$4.77,10.01
2014-06-30,47.45,$3.95,12.01
2014-03-31,39.92,$3.85,10.36
2013-12-31,36.32,$3.19,11.39
2013-09-30,34.62,$5.51,6.28
2013-06-30,34.4,$5.33,6.45
2013-03-31,38.68,$5.28,7.33
2012-12-31,37.73,$5.00,7.55
2012-09-30,27.5,$2.41,11.43
2012-06-30,25.06,$1.97,12.73
2012-03-31,22.41,$1.75,12.78
2011-12-31,20.8,$1.75,11.87
2011-09-30,20.25,$1.41,14.4
2011-06-30,24.97,$1.58,15.84
2011-03-31,25.15,$2.19,11.49
2010-12-31,24.03,$2.36,10.18
2010-09-30,20.2,$2.80,7.2
2010-06-30,16.85,$2.73,6.17
2010-03-31,20.83,$2.22,9.37
2009-12-31,17.59,$2.20,7.98
