U-Haul Holding Price to Free Cash Flow Ratio Historical Data,U-Haul Holding Price to Free Cash Flow Ratio Historical Data,U-Haul Holding Price to Free Cash Flow Ratio Historical Data,U-Haul Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,72.54,,0.0
2024-06-30,61.73,$-5.35,0.0
2024-03-31,67.54,$-4.08,0.0
2023-12-31,71.8,$-4.23,0.0
2023-09-30,54.57,$-4.03,0.0
2023-06-30,55.32,$-2.92,0.0
2023-03-31,59.65,$-1.49,0.0
2022-12-31,60.19,$-1.09,0.0
2022-09-30,50.92,$-0.90,0.0
2022-06-30,47.78,$0.66,72.36
2022-03-31,59.58,$2.21,26.98
2021-12-31,72.49,$2.05,35.39
2021-09-30,64.44,$6.43,10.02
2021-06-30,58.74,$5.60,10.48
2021-03-31,61.0,$2.27,26.84
2020-12-31,45.2,$3.82,11.84
2020-06-30,29.92,$-0.45,0.0
2020-03-31,28.76,$-2.81,0.0
2019-12-31,37.2,$-6.67,0.0
2019-09-30,38.56,$-4.36,0.0
2019-06-30,37.37,$-3.12,0.0
2019-03-31,36.68,$-1.52,0.0
2020-09-30,35.29,$3.34,10.58
2018-12-31,32.35,$-0.38,0.0
2018-09-30,35.11,$0.52,67.53
2018-06-30,35.01,$1.24,28.23
2018-03-31,33.88,$1.40,24.17
2017-12-31,37.05,$1.11,33.32
2017-09-30,36.7,$0.03,1082.7
2017-06-30,35.74,$0.39,92.52
2017-03-31,37.22,$0.53,70.51
2016-12-31,35.99,$0.84,42.9
2016-09-30,31.48,$-0.12,0.0
2016-06-30,36.36,$0.17,217.09
2016-03-31,34.59,$0.42,83.1
2015-12-31,37.71,$1.42,26.62
2015-09-30,38.09,$2.23,17.1
2015-06-30,31.4,$1.21,26.05
2015-03-31,31.63,$0.19,162.63
2014-12-31,27.13,$-0.46,0.0
2014-06-30,27.75,$0.11,257.91
2014-03-31,22.15,$0.02,1141.99
2013-12-31,22.61,$0.93,24.37
2013-09-30,17.5,$0.55,31.77
2013-06-30,15.39,$-0.55,0.0
2013-03-31,16.49,$-0.16,0.0
2014-09-30,25.0,$0.66,37.76
2012-12-31,12.05,$1.80,6.71
2012-09-30,9.67,$2.34,4.14
2012-06-30,8.18,$2.60,3.15
2012-03-31,9.6,$1.24,7.74
2011-12-31,8.04,$1.07,7.49
2011-09-30,5.62,$1.27,4.44
2011-06-30,8.65,$0.94,9.15
2011-03-31,8.72,$1.41,6.17
2010-12-31,8.64,$1.70,5.08
2010-09-30,7.15,$1.66,4.3
2010-06-30,4.95,$1.85,2.67
2010-03-31,4.88,$1.47,3.33
2009-12-31,4.47,$1.21,3.68
