Advanced Energy Industries Price to Free Cash Flow Ratio Historical Data,Advanced Energy Industries Price to Free Cash Flow Ratio Historical Data,Advanced Energy Industries Price to Free Cash Flow Ratio Historical Data,Advanced Energy Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,111.05,,37.51
2024-06-30,108.66,$2.96,36.7
2024-03-31,101.79,$3.31,30.75
2023-12-31,108.62,$3.92,27.72
2023-09-30,102.72,$3.42,30.04
2023-06-30,110.92,$3.22,34.49
2023-03-31,97.43,$3.75,25.97
2022-12-31,85.19,$3.31,25.77
2022-09-30,76.8,$2.73,28.16
2022-06-30,72.32,$1.67,43.39
2022-03-31,85.19,$1.73,49.38
2021-12-31,90.02,$2.98,30.16
2021-09-30,86.65,$3.65,23.74
2021-06-30,111.16,$4.79,23.22
2021-03-31,107.56,$4.87,22.08
2020-12-31,95.45,$4.28,22.31
2020-09-30,61.96,$3.09,20.07
2020-06-30,66.73,$1.76,37.99
2020-03-31,47.73,$1.11,43.2
2019-12-31,70.09,$0.60,116.27
2019-09-30,56.51,$1.19,47.32
2019-06-30,55.39,$1.65,33.59
2019-03-31,48.9,$2.68,18.27
2018-12-31,42.26,$3.33,12.7
2018-09-30,50.84,$3.64,13.98
2018-06-30,57.18,$3.84,14.9
2018-03-31,62.9,$4.09,15.39
2017-12-31,66.42,$4.32,15.37
2017-09-30,79.5,$4.14,19.21
2017-06-30,63.68,$4.20,15.17
2017-03-31,67.49,$3.51,19.21
2016-12-31,53.89,$2.81,19.18
2016-09-30,46.58,$2.65,17.55
2016-06-30,37.37,$2.23,16.74
2016-03-31,34.25,$2.06,16.66
2015-12-31,27.79,$2.48,11.2
2015-09-30,25.89,$2.18,11.9
2015-06-30,27.06,$2.01,13.47
2015-03-31,25.26,$2.37,10.67
2014-12-31,23.33,$1.80,12.93
2014-09-30,18.5,$2.37,7.82
2014-06-30,18.95,$2.20,8.63
2014-03-31,24.12,$0.94,25.64
2013-12-31,22.5,$0.79,28.42
2013-09-30,17.24,$0.04,457.19
2013-06-30,17.14,$0.67,25.44
2013-03-31,18.01,$1.82,9.92
2012-12-31,13.59,$2.60,5.22
2012-09-30,12.14,$2.45,4.95
2012-06-30,13.21,$1.91,6.9
2012-03-31,12.91,$1.24,10.41
2011-12-31,10.56,$0.44,24.17
2011-09-30,8.49,$0.80,10.64
2011-06-30,14.56,$0.25,57.3
2011-03-31,16.09,$0.23,68.99
2010-12-31,13.43,$-0.01,0.0
2010-09-30,12.86,$-0.38,0.0
2010-06-30,12.1,$-0.01,0.0
2010-03-31,16.3,$-0.21,0.0
2009-12-31,14.84,$0.09,174.02
