Simpson Manufacturing Price to Free Cash Flow Ratio Historical Data,Simpson Manufacturing Price to Free Cash Flow Ratio Historical Data,Simpson Manufacturing Price to Free Cash Flow Ratio Historical Data,Simpson Manufacturing Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,192.25,,41.46
2024-06-30,168.0,$4.64,36.23
2024-03-31,204.25,$7.02,29.08
2023-12-31,196.8,$7.39,26.63
2023-09-30,148.64,$-8.08,0.0
2023-06-30,137.15,$9.03,15.18
2023-03-31,108.3,$-11.84,0.0
2022-12-31,87.33,$-10.82,0.0
2022-09-30,76.98,$5.61,13.72
2022-06-30,98.54,$-15.07,0.0
2022-03-31,106.54,$2.96,35.94
2021-12-31,135.63,$2.49,54.58
2021-09-30,104.08,$3.56,29.24
2021-06-30,107.46,$4.70,22.85
2021-03-31,100.7,$3.97,25.36
2020-12-31,90.31,$3.95,22.88
2020-09-30,93.9,$3.78,24.87
2020-06-30,81.1,$3.90,20.78
2020-03-31,59.36,$4.23,14.02
2019-12-31,76.84,$4.06,18.92
2019-09-30,66.03,$4.12,16.03
2019-06-30,63.04,$3.23,19.53
2019-03-31,56.01,$3.04,18.45
2018-12-31,50.95,$3.22,15.82
2018-09-30,67.99,$1.73,39.35
2018-06-30,58.15,$2.54,22.86
2018-03-31,53.65,$1.85,28.95
2017-12-31,53.29,$0.71,75.35
2017-09-30,45.33,$1.26,36.06
2017-06-30,40.21,$-0.03,0.0
2017-03-31,39.47,$0.45,86.82
2016-12-31,39.91,$1.10,36.42
2016-09-30,39.93,$1.24,32.26
2016-06-30,36.15,$1.52,23.77
2016-03-31,34.38,$1.63,21.11
2015-12-31,30.61,$1.62,18.85
2015-09-30,30.02,$1.31,22.94
2015-06-30,30.33,$1.48,20.47
2015-03-31,33.18,$1.21,27.36
2014-12-31,30.47,$0.90,33.94
2014-09-30,25.67,$1.46,17.55
2014-06-30,31.75,$1.47,21.67
2014-03-31,30.74,$1.87,16.41
2013-12-31,31.96,$1.95,16.38
2013-09-30,28.13,$2.43,11.58
2013-06-30,25.3,$2.09,12.11
2013-03-31,26.32,$1.59,16.53
2012-12-31,28.2,$1.11,25.41
2012-09-30,24.31,$-1.06,0.0
2012-06-30,24.96,$-1.39,0.0
2012-03-31,27.16,$-1.27,0.0
2011-12-31,28.24,$-0.81,0.0
2011-09-30,20.82,$0.66,31.54
2011-06-30,24.83,$1.21,20.48
2011-03-31,24.38,$1.37,17.81
2010-12-31,25.5,$1.18,21.63
2010-09-30,21.19,$1.30,16.34
2010-06-30,20.09,$0.87,23.22
2010-03-31,22.64,$1.09,20.77
2009-12-31,21.85,$1.78,12.24
