Brookfield Renewable Price to Free Cash Flow Ratio Historical Data,Brookfield Renewable Price to Free Cash Flow Ratio Historical Data,Brookfield Renewable Price to Free Cash Flow Ratio Historical Data,Brookfield Renewable Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.48,,inf
2024-06-30,28.38,0.0,0.0
2024-03-31,24.57,0.0,0.0
2023-12-31,28.79,0.0,0.0
2023-09-30,23.94,0.0,0.0
2023-06-30,31.52,0.0,0.0
2023-03-31,34.95,0.0,0.0
2022-12-31,27.54,0.0,0.0
2022-09-30,32.68,0.0,0.0
2022-06-30,35.32,0.0,0.0
2022-03-31,42.32,0.0,0.0
2021-12-31,35.27,0.0,0.0
2021-09-30,36.87,0.0,0.0
2021-06-30,39.57,0.0,0.0
