Universal Display Price to Free Cash Flow Ratio Historical Data,Universal Display Price to Free Cash Flow Ratio Historical Data,Universal Display Price to Free Cash Flow Ratio Historical Data,Universal Display Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,204.99,,52.01
2024-06-30,209.84,$3.94,53.24
2024-03-31,167.79,$2.55,65.84
2023-12-31,190.03,$1.99,95.28
2023-09-30,155.69,$1.19,130.72
2023-06-30,142.62,$1.04,136.67
2023-03-31,153.13,$1.70,89.87
2022-12-31,106.39,$1.78,59.89
2022-09-30,92.66,$2.87,32.28
2022-06-30,99.04,$3.68,26.93
2022-03-31,163.04,$3.59,45.38
2021-12-31,160.87,$3.12,51.5
2021-09-30,166.44,$3.57,46.59
2021-06-30,216.23,$2.94,73.52
2021-03-31,230.06,$2.95,77.98
2020-12-31,223.09,$2.56,87.24
2020-09-30,175.35,$2.29,76.47
2020-06-30,145.03,$2.56,56.6
2020-03-31,127.61,$3.06,41.64
2019-12-31,199.31,$3.49,57.16
2019-09-30,162.3,$2.87,56.57
2019-06-30,181.69,$2.63,69.11
2019-03-31,147.59,$1.86,79.52
2018-12-31,90.29,$2.06,43.92
2018-09-30,113.7,$2.77,41.11
2018-06-30,82.89,$1.99,41.67
2018-03-31,97.29,$2.83,34.34
2017-12-31,166.23,$2.21,75.13
2017-09-30,124.04,$1.83,67.85
2017-06-30,105.15,$1.85,56.91
2017-03-31,82.85,$1.60,51.85
2016-12-31,54.15,$1.57,34.5
2016-09-30,53.39,$1.42,37.47
2016-06-30,65.21,$1.46,44.79
2016-03-31,52.04,$1.30,39.91
2015-12-31,52.36,$2.28,22.92
2015-09-30,32.61,$2.19,14.86
2015-06-30,49.76,$1.96,25.38
2015-03-31,44.97,$2.03,22.13
2014-12-31,26.69,$0.88,30.31
2014-09-30,31.4,$0.78,40.08
2014-06-30,30.88,$1.06,29.21
2014-03-31,30.69,$0.94,32.7
2013-12-31,33.05,$0.87,38.19
2013-09-30,30.81,$0.61,50.66
2013-06-30,27.04,$0.45,60.15
2013-03-31,28.31,$0.15,183.94
2012-12-31,24.64,$0.32,76.94
2012-09-30,33.02,$0.29,112.89
2012-06-30,34.57,$0.45,76.72
2012-03-31,35.14,$0.19,182.44
2011-12-31,35.29,$0.31,115.56
2011-09-30,46.11,$0.14,340.56
2011-06-30,33.75,$-0.04,0.0
2011-03-31,52.94,$-0.08,0.0
2010-12-31,29.48,$-0.12,0.0
2010-09-30,22.6,$-0.22,0.0
2010-06-30,17.29,$-0.24,0.0
2010-03-31,11.32,$-0.30,0.0
2009-12-31,11.89,$-0.41,0.0
