Procore Technologies Price to Free Cash Flow Ratio Historical Data,Procore Technologies Price to Free Cash Flow Ratio Historical Data,Procore Technologies Price to Free Cash Flow Ratio Historical Data,Procore Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,63.05,,63.65
2024-06-30,66.31,$0.99,66.95
2024-03-31,82.17,$0.53,153.76
2023-12-31,69.22,$0.28,250.8
2023-09-30,65.32,$0.21,310.75
2023-06-30,65.07,$0.01,6256.73
2023-03-31,62.63,$-0.10,0.0
2022-12-31,47.18,$-0.27,0.0
2022-09-30,49.48,$-0.42,0.0
2022-06-30,45.39,$-0.42,0.0
2022-03-31,57.96,$0.06,934.84
