Kratos Defense & Security Solutions Price to Free Cash Flow Ratio Historical Data,Kratos Defense & Security Solutions Price to Free Cash Flow Ratio Historical Data,Kratos Defense & Security Solutions Price to Free Cash Flow Ratio Historical Data,Kratos Defense & Security Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,25.22,,437.09
2024-06-30,20.01,$0.06,346.79
2024-03-31,18.38,$0.25,74.56
2023-12-31,20.29,$0.10,206.62
2023-09-30,15.02,$-0.31,0.0
2023-06-30,14.34,$-0.32,0.0
2023-03-31,13.48,$-0.67,0.0
2022-12-31,10.32,$-0.56,0.0
2022-09-30,10.16,$-0.62,0.0
2022-06-30,13.88,$-0.51,0.0
2022-03-31,20.48,$-0.34,0.0
2021-12-31,19.4,$-0.09,0.0
2021-09-30,22.31,$0.11,194.68
2021-06-30,28.49,$0.12,244.97
2021-03-31,27.28,$0.20,137.43
2020-12-31,27.43,$0.07,370.18
2020-09-30,19.28,$-0.12,0.0
2020-06-30,15.63,$-0.10,0.0
2020-03-31,13.84,$-0.11,0.0
2019-12-31,18.01,$0.02,756.72
2019-09-30,18.6,$0.09,199.95
2019-06-30,22.89,$0.14,159.62
2019-03-31,15.63,$0.07,220.76
2018-12-31,14.09,$-0.04,0.0
2018-09-30,14.78,$-0.22,0.0
2018-06-30,11.51,$-0.35,0.0
2018-03-31,10.29,$-0.46,0.0
2017-12-31,10.59,$-0.59,0.0
2017-09-30,13.08,$-0.55,0.0
2017-06-30,11.87,$-0.45,0.0
2017-03-31,7.78,$-0.29,0.0
2016-12-31,7.4,$-0.39,0.0
2016-09-30,6.89,$-0.40,0.0
2016-06-30,4.1,$-0.62,0.0
2016-03-31,4.95,$-0.85,0.0
2015-12-31,4.1,$-0.70,0.0
2015-09-30,4.22,$-0.28,0.0
2015-06-30,6.3,$-0.29,0.0
2015-03-31,5.53,$-0.21,0.0
2014-12-31,5.02,$-0.16,0.0
2014-09-30,6.56,$-0.23,0.0
2014-06-30,7.8,$-0.09,0.0
2014-03-31,7.54,$0.10,79.2
2013-12-31,7.68,$0.15,50.73
2013-09-30,8.28,$0.33,24.93
2013-06-30,6.48,$0.69,9.33
2013-03-31,5.03,$0.11,47.1
2012-12-31,5.03,$0.76,6.61
2012-09-30,5.84,$0.09,66.97
2012-06-30,5.84,$0.54,10.81
2012-03-31,5.34,$0.78,6.88
2011-12-31,5.97,$-0.08,0.0
2011-09-30,6.72,$0.26,25.83
2011-06-30,12.16,$0.60,20.32
2011-03-31,14.22,$1.41,10.09
2010-12-31,13.17,$1.54,8.56
2010-09-30,10.65,$1.74,6.13
2010-06-30,10.5,$1.27,8.29
2010-03-31,14.27,$1.26,11.35
2009-12-31,10.55,$1.86,5.68
