New Oriental Education & Technology Price to Free Cash Flow Ratio Historical Data,New Oriental Education & Technology Price to Free Cash Flow Ratio Historical Data,New Oriental Education & Technology Price to Free Cash Flow Ratio Historical Data,New Oriental Education & Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,68.28,,13.05
2024-05-31,79.15,$5.23,15.12
2024-02-29,92.62,$6.14,15.09
2023-11-30,80.59,$6.61,12.2
2023-08-31,53.71,$5.86,9.16
2023-05-31,37.3,$4.92,7.58
2023-02-28,38.34,$-3.79,0.0
2022-11-30,28.46,$-3.63,0.0
2022-08-31,28.12,$-7.34,0.0
2022-05-31,12.93,$-8.74,0.0
2022-02-28,14.95,$-1.80,0.0
2021-08-31,22.38,$0.00,0.0
2021-05-31,101.3,$4.54,22.34
2021-02-28,175.89,$3.76,46.74
2020-11-30,163.24,$4.09,39.89
2020-08-31,145.2,$3.28,44.28
2020-05-31,118.79,$3.26,36.49
2020-02-29,126.64,$7.84,16.14
2019-11-30,119.9,$7.60,15.78
2019-08-31,112.29,$5.34,21.04
2019-05-31,84.81,$3.48,24.36
2019-02-28,81.26,$3.64,22.34
2018-11-30,56.6,$3.64,15.56
2018-08-31,77.83,$3.64,21.4
2018-05-31,98.5,$3.64,27.08
2018-02-28,90.5,$3.29,27.51
2017-11-30,84.03,$3.29,25.54
2017-08-31,80.52,$3.29,24.48
2017-05-31,70.59,$3.29,21.46
2017-02-28,47.68,$2.89,16.5
2016-11-30,49.42,$2.89,17.1
2016-08-31,38.89,$2.89,13.46
2016-05-31,41.61,$2.89,14.4
2016-02-29,30.66,$2.05,14.96
2015-11-30,28.58,$2.05,13.94
2015-08-31,19.79,$2.05,9.65
2015-05-31,23.01,$2.05,11.23
2015-02-28,18.5,$2.28,8.11
2014-11-30,21.36,$2.28,9.36
2014-08-31,22.03,$2.28,9.65
2014-05-31,24.94,$2.28,10.92
2014-02-28,26.89,$1.43,18.8
2013-11-30,28.67,$1.43,20.05
2013-08-31,20.17,$1.43,14.11
2013-05-31,21.21,$1.43,14.84
2013-02-28,14.44,$1.15,12.54
2012-11-30,19.15,$1.15,16.63
2012-08-31,13.21,$1.15,11.47
2012-05-31,24.63,$1.15,21.39
2012-02-29,24.63,$1.09,22.62
2011-11-30,23.45,$1.09,21.53
2011-08-31,28.34,$1.09,26.02
2011-05-31,26.9,$1.09,24.7
2011-02-28,22.44,$0.79,28.4
2010-11-30,24.57,$0.79,31.1
2010-08-31,22.9,$0.79,28.98
2010-05-31,21.29,$0.79,26.95
2010-02-28,18.16,$0.53,34.25
2009-11-30,16.56,$0.53,31.24
