Brookfield Wealth Solutions Price to Free Cash Flow Ratio Historical Data,Brookfield Wealth Solutions Price to Free Cash Flow Ratio Historical Data,Brookfield Wealth Solutions Price to Free Cash Flow Ratio Historical Data,Brookfield Wealth Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,55.24,,2.95
2024-06-30,41.59,$18.73,2.22
2024-03-31,41.78,$21.99,1.9
2023-12-31,40.37,$24.88,1.62
2023-09-30,31.47,$15.08,2.09
2023-06-30,33.86,$25.72,1.32
2023-03-31,32.98,$22.88,1.44
2022-12-31,31.29,$20.99,1.49
2022-09-30,40.9,$58.55,0.7
2022-06-30,44.45,$91.37,0.49
2022-03-31,56.86,$82.70,0.69
