Upstart Holdings Price to Free Cash Flow Ratio Historical Data,Upstart Holdings Price to Free Cash Flow Ratio Historical Data,Upstart Holdings Price to Free Cash Flow Ratio Historical Data,Upstart Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,52.05,,238.65
2024-06-30,23.59,$0.22,108.16
2024-03-31,26.89,$-1.48,0.0
2023-12-31,40.86,$-5.10,0.0
2023-09-30,28.54,$-4.78,0.0
2023-03-31,15.89,$-6.57,0.0
2022-12-31,13.22,$-8.43,0.0
2022-09-30,20.79,$-5.38,0.0
2022-06-30,31.62,$-4.12,0.0
2022-03-31,109.09,$-2.62,0.0
2021-12-31,151.3,$1.15,131.3
2023-06-30,35.81,$1.61,22.2
2021-09-30,316.44,$2.16,146.6
