Brookfield Asset Management Price to Free Cash Flow Ratio Historical Data,Brookfield Asset Management Price to Free Cash Flow Ratio Historical Data,Brookfield Asset Management Price to Free Cash Flow Ratio Historical Data,Brookfield Asset Management Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,51.05,,28.15
2024-06-30,37.98,$1.81,20.94
2024-03-31,41.94,$0.46,90.44
2023-12-31,40.02,$0.61,65.61
2023-03-31,32.46,$0.23,140.16
