CCC Intelligent Solutions Holdings Price to Free Cash Flow Ratio Historical Data,CCC Intelligent Solutions Holdings Price to Free Cash Flow Ratio Historical Data,CCC Intelligent Solutions Holdings Price to Free Cash Flow Ratio Historical Data,CCC Intelligent Solutions Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.17,,35.36
2024-06-30,11.11,$0.32,35.17
2024-03-31,11.96,$0.35,33.88
2023-12-31,11.39,$0.32,36.09
2023-09-30,13.35,$0.30,43.83
2023-06-30,11.21,$0.26,43.52
2023-03-31,8.97,$0.21,41.86
2022-12-31,8.7,$0.24,36.8
2022-09-30,9.1,$0.16,56.56
2022-06-30,9.2,$0.17,53.52
2022-03-31,11.04,$0.15,74.54
2021-12-31,11.39,$0.16,69.54
2021-09-30,10.51,$0.13,83.02
