Lancaster Colony Price to Free Cash Flow Ratio Historical Data,Lancaster Colony Price to Free Cash Flow Ratio Historical Data,Lancaster Colony Price to Free Cash Flow Ratio Historical Data,Lancaster Colony Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,178.42,,25.66
2024-06-30,188.01,$6.95,27.04
2024-03-31,205.58,$7.14,28.81
2023-12-31,164.02,$5.69,28.82
2023-09-30,161.81,$4.61,35.08
2023-06-30,196.13,$4.98,39.36
2023-03-31,197.03,$4.47,44.12
2022-12-31,190.76,$2.90,65.7
2022-09-30,144.69,$1.05,138.06
2022-06-30,123.41,$-1.08,0.0
2022-03-31,141.98,$-1.55,0.0
2021-12-31,156.84,$-1.05,0.0
2021-09-30,159.03,$1.67,95.02
2021-06-30,181.51,$3.14,57.76
2021-03-31,163.86,$4.51,36.29
2020-12-31,170.98,$4.78,35.79
2020-09-30,165.66,$3.66,45.29
2020-06-30,143.03,$3.21,44.56
2020-03-31,132.92,$2.71,49.02
2019-12-31,146.44,$3.25,45.08
2019-09-30,126.26,$3.36,37.53
2019-06-30,134.73,$4.61,29.24
2019-03-31,141.44,$4.90,28.86
2018-12-31,158.97,$5.32,29.9
2018-09-30,133.63,$4.75,28.15
2018-06-30,123.49,$4.72,26.14
2018-03-31,109.35,$4.66,23.46
2017-12-31,114.18,$4.56,25.03
2017-09-30,105.67,$4.00,26.39
2017-06-30,107.36,$4.40,24.38
2017-03-31,112.32,$4.65,24.17
2016-12-31,122.74,$4.61,26.61
2016-09-30,114.21,$5.13,22.25
2016-06-30,109.93,$4.72,23.29
2016-03-31,94.87,$4.48,21.17
2015-12-31,98.59,$4.08,24.16
2015-09-30,79.36,$4.26,18.63
2015-06-30,73.62,$4.19,17.57
2015-03-31,76.72,$3.78,20.3
2014-12-31,75.1,$3.78,19.86
2014-09-30,68.06,$4.27,15.93
2014-06-30,75.57,$4.14,18.24
2014-03-31,78.58,$4.55,17.28
2013-12-31,69.35,$4.86,14.28
2013-09-30,61.28,$4.54,13.5
2013-06-30,60.71,$4.05,15.01
2013-03-31,59.64,$4.05,14.73
2012-12-31,53.31,$3.92,13.59
2012-09-30,52.5,$3.84,13.68
2012-06-30,50.79,$3.92,12.94
2012-03-31,47.15,$4.16,11.35
2011-12-31,48.92,$3.96,12.36
2011-09-30,42.82,$4.45,9.63
2011-06-30,42.45,$4.05,10.48
2011-03-31,42.06,$3.16,13.3
2010-12-31,39.47,$3.25,12.14
2010-09-30,32.58,$2.86,11.4
2010-06-30,36.36,$3.37,10.79
2010-03-31,39.95,$4.14,9.65
2009-12-31,33.49,$6.74,4.97
