Toast Price to Free Cash Flow Ratio Historical Data,Toast Price to Free Cash Flow Ratio Historical Data,Toast Price to Free Cash Flow Ratio Historical Data,Toast Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.54,,84.06
2024-06-30,25.77,$0.35,73.34
2024-03-31,24.92,$0.24,104.71
2023-12-31,18.26,$0.17,104.64
2023-09-30,18.73,$-0.04,0.0
2023-06-30,22.57,$-0.26,0.0
2023-03-31,17.75,$-0.39,0.0
2022-12-31,18.03,$-0.37,0.0
2022-09-30,16.72,$-0.44,0.0
2022-06-30,12.94,$-0.22,0.0
