UiPath Price to Free Cash Flow Ratio Historical Data,UiPath Price to Free Cash Flow Ratio Historical Data,UiPath Price to Free Cash Flow Ratio Historical Data,UiPath Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.77,,22.12
2024-07-31,12.17,$0.58,21.08
2024-04-30,18.97,$0.57,33.08
2024-01-31,22.98,$0.52,44.41
2023-10-31,15.53,$0.43,36.04
2023-07-31,18.08,$0.30,59.93
2023-04-30,14.08,$0.17,82.24
2023-01-31,15.36,$-0.06,0.0
2022-10-31,12.65,$-0.27,0.0
2022-07-31,18.33,$-0.26,0.0
2022-04-30,17.83,$-0.17,0.0
2022-01-31,36.53,$-0.15,0.0
