Thor Industries Price to Free Cash Flow Ratio Historical Data,Thor Industries Price to Free Cash Flow Ratio Historical Data,Thor Industries Price to Free Cash Flow Ratio Historical Data,Thor Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,113.96,,14.2
2024-07-31,106.14,$8.03,13.23
2024-04-30,98.91,$10.87,9.1
2024-01-31,111.96,$10.92,10.25
2023-10-31,86.76,$14.26,6.09
2023-07-31,113.34,$14.61,7.76
2023-04-30,77.2,$11.42,6.76
2023-01-31,92.62,$12.21,7.59
2022-10-31,78.69,$14.61,5.39
2022-07-31,81.0,$13.82,5.86
2022-04-30,73.11,$13.95,5.24
2022-01-31,89.86,$12.87,6.98
2021-10-31,96.46,$9.04,10.67
2021-07-31,111.53,$7.18,15.54
2021-04-30,132.95,$6.68,19.9
2021-01-31,113.28,$6.39,17.73
2020-10-31,78.83,$7.61,10.36
2020-07-31,105.76,$8.34,12.68
2020-04-30,61.19,$7.21,8.49
2020-01-31,73.65,$5.04,14.61
2019-10-31,57.55,$6.83,8.43
2019-07-31,53.89,$7.04,7.65
2019-04-30,59.17,$7.59,7.8
2019-01-31,58.12,$7.84,7.41
2018-10-31,61.68,$5.66,10.89
2018-07-31,83.55,$6.28,13.29
2018-04-30,93.14,$5.72,16.29
2018-01-31,119.53,$5.69,21.02
2017-10-31,118.85,$0.02,5378.02
2017-07-31,91.66,$3.85,23.83
2017-04-30,83.42,$1.53,54.67
2017-01-31,89.47,$0.06,1378.65
2016-07-31,65.69,$5.51,11.93
2016-04-30,54.69,$6.27,8.73
2016-01-31,44.58,$4.39,10.16
2015-10-31,45.74,$4.40,10.4
2015-07-31,46.99,$4.26,11.04
2016-10-31,68.35,$0.78,87.91
2015-04-30,50.37,$4.53,11.11
2015-01-31,46.97,$3.64,12.89
2014-10-31,43.87,$3.15,13.92
2014-07-31,43.7,$2.39,18.28
2014-04-30,50.02,$0.74,67.89
2014-01-31,42.05,$1.88,22.41
2013-10-31,46.46,$2.13,21.77
2013-07-31,43.12,$2.28,18.91
2013-04-30,29.48,$2.00,14.71
2013-01-31,33.27,$1.28,26.07
2012-10-31,28.9,$1.82,15.86
2012-07-31,21.72,$2.03,10.7
2012-04-30,25.44,$3.46,7.35
2012-01-31,22.95,$2.90,7.91
2011-10-31,19.68,$1.96,10.03
2011-07-31,18.27,$1.48,12.38
2011-04-30,22.83,$0.45,50.77
2011-01-31,27.28,$1.39,19.66
2010-10-31,23.05,$1.31,17.57
2010-07-31,20.31,$1.76,11.56
2010-04-30,25.98,$0.74,34.91
2010-01-31,23.05,$0.20,116.64
2009-10-31,18.99,$1.15,16.46
