Sweetgreen Price to Free Cash Flow Ratio Historical Data,Sweetgreen Price to Free Cash Flow Ratio Historical Data,Sweetgreen Price to Free Cash Flow Ratio Historical Data,Sweetgreen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.56,,0.0
2024-06-30,30.14,$-0.20,0.0
2024-03-31,25.26,$-0.35,0.0
2023-12-31,11.3,$-0.56,0.0
2023-09-30,11.75,$-0.95,0.0
2023-06-30,12.82,$-1.13,0.0
2023-03-31,7.84,$-1.25,0.0
2022-12-31,8.57,$-1.27,0.0
2022-09-30,18.5,$-3.40,0.0
2022-06-30,11.65,$-3.17,0.0
2022-03-31,31.99,$-2.90,0.0
