Abercrombie & Fitch Price to Free Cash Flow Ratio Historical Data,Abercrombie & Fitch Price to Free Cash Flow Ratio Historical Data,Abercrombie & Fitch Price to Free Cash Flow Ratio Historical Data,Abercrombie & Fitch Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,160.65,,15.59
2024-07-31,147.48,$10.31,14.31
2024-04-30,121.52,$11.38,10.68
2024-01-31,101.9,$9.41,10.83
2023-10-31,60.82,$9.54,6.38
2023-07-31,39.61,$4.03,9.83
2023-04-30,23.54,$-3.87,0.0
2023-01-31,28.96,$-1.20,0.0
2022-10-31,17.58,$-5.62,0.0
2022-04-30,34.58,$0.58,59.58
2022-01-31,39.0,$2.89,13.51
2021-10-31,39.54,$12.14,3.26
2021-07-31,37.81,$4.80,7.87
2021-04-30,37.49,$3.08,12.19
2021-01-31,23.07,$7.85,2.94
2022-07-31,17.81,$-6.17,0.0
2020-10-31,14.22,$4.70,3.02
2020-07-31,9.63,$3.02,3.19
2020-04-30,10.58,$0.22,48.71
2020-01-31,16.08,$1.49,10.81
2019-10-31,15.73,$0.27,58.08
2019-07-31,18.16,$0.95,19.03
2019-04-30,28.31,$1.75,16.16
2019-01-31,20.36,$2.90,7.02
2018-10-31,18.32,$3.08,5.95
2018-07-31,21.83,$4.15,5.25
2018-04-30,23.42,$3.73,6.28
2018-01-31,18.76,$2.61,7.2
2017-10-31,12.03,$0.96,12.59
2017-07-31,8.67,$0.74,11.68
2017-04-30,10.41,$0.45,23.23
2017-01-31,9.91,$0.71,13.98
2016-10-31,12.3,$1.93,6.38
2016-07-31,17.24,$2.06,8.38
2016-04-30,22.03,$-0.77,0.0
2016-01-31,21.48,$3.99,5.39
2015-10-31,17.22,$1.03,16.75
2015-07-31,16.16,$-0.08,0.0
2015-01-31,20.16,$1.89,10.67
2014-10-31,26.27,$0.50,52.27
2014-07-31,30.72,$-1.28,0.0
2014-04-30,28.56,$-1.87,0.0
2014-01-31,27.36,$-2.11,0.0
2015-04-30,17.91,$-6.41,0.0
2013-10-31,28.81,$0.22,132.59
2013-07-31,38.12,$3.17,12.03
2013-04-30,37.74,$3.52,10.73
2013-01-31,37.91,$4.14,9.16
2012-10-31,23.09,$1.68,13.73
2012-07-31,25.4,$-0.64,0.0
2012-04-30,37.52,$-0.55,0.0
2012-01-31,34.23,$0.52,65.73
2011-10-31,55.22,$1.41,39.06
2011-07-31,54.1,$2.14,25.24
2011-04-30,52.26,$2.52,20.77
2011-01-31,37.09,$2.57,14.44
2010-10-31,31.42,$1.47,21.37
2010-07-31,26.95,$2.06,13.09
2010-04-30,31.74,$2.38,13.36
2010-01-31,22.78,$2.48,9.18
2009-10-31,23.6,$1.68,14.06
