Phillips Edison Price to Free Cash Flow Ratio Historical Data,Phillips Edison Price to Free Cash Flow Ratio Historical Data,Phillips Edison Price to Free Cash Flow Ratio Historical Data,Phillips Edison Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.12,,22.42
2024-06-30,32.71,$1.66,19.75
2024-03-31,35.87,$1.59,22.55
2023-12-31,36.48,$1.53,23.91
2023-09-30,33.54,$1.59,21.07
2023-06-30,34.08,$1.53,22.27
2023-03-31,32.62,$1.71,19.09
2022-12-31,31.84,$1.83,17.41
2022-09-30,28.05,$2.07,13.53
2022-06-30,33.24,$4.36,7.62
