Dr Reddy's Laboratories Price to Free Cash Flow Ratio Historical Data,Dr Reddy's Laboratories Price to Free Cash Flow Ratio Historical Data,Dr Reddy's Laboratories Price to Free Cash Flow Ratio Historical Data,Dr Reddy's Laboratories Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,79.8,,42.47
2024-06-30,75.74,$1.88,40.31
2024-03-31,72.92,$2.17,33.67
2023-12-31,69.17,$2.98,23.23
2023-09-30,66.47,$4.34,15.33
2023-06-30,62.3,$3.76,16.57
2023-03-31,56.2,$3.48,16.15
2022-12-31,51.09,$2.64,19.33
2022-09-30,51.67,$2.26,22.91
2022-06-30,54.28,$1.88,28.81
2022-03-31,54.61,$1.09,49.91
2021-12-31,64.1,$1.38,46.41
2021-09-30,63.83,$0.41,154.0
2021-06-30,71.44,$0.87,81.74
2021-03-31,59.66,$2.14,27.87
2020-12-31,69.28,$1.39,49.98
2020-09-30,67.6,$1.79,37.75
2020-06-30,51.19,$1.95,26.27
2020-03-31,38.94,$2.01,19.36
2019-12-31,39.19,$2.42,16.19
2019-09-30,36.59,$3.27,11.19
2019-06-30,35.93,$3.41,10.54
2019-03-31,38.84,$2.00,19.44
2018-12-31,36.15,$2.02,17.88
2018-09-30,33.18,$1.16,28.56
2018-06-30,30.61,$0.70,43.56
2018-03-31,31.08,$0.82,37.97
2017-12-31,35.71,$0.95,37.47
2017-09-30,33.92,$0.66,51.59
2017-06-30,39.76,$0.21,186.94
2017-03-31,37.88,$0.86,43.93
2016-12-31,42.72,$0.87,49.16
2016-09-30,43.8,$1.44,30.51
2016-06-30,48.07,$2.18,22.01
2016-03-31,42.4,$2.59,16.38
2015-12-31,43.44,$2.84,15.32
2015-09-30,59.97,$2.33,25.71
2015-06-30,51.63,$1.82,28.35
2015-03-31,53.29,$1.51,35.4
2014-12-31,47.09,$1.32,35.67
2014-09-30,49.05,$1.41,34.77
2014-06-30,40.01,$0.89,44.78
2014-03-31,40.71,$0.92,44.13
2013-12-31,38.05,$0.42,90.61
2013-09-30,35.04,$0.23,155.53
2013-06-30,34.82,$0.74,47.17
2013-03-31,29.79,$0.70,42.38
2012-12-31,30.65,$1.18,26.05
2012-09-30,28.42,$1.44,19.79
2012-06-30,27.33,$1.17,23.28
2012-03-31,31.57,$1.08,29.32
2011-12-31,26.88,$0.35,76.2
2011-09-30,27.22,$0.10,278.6
2011-06-30,31.36,$0.21,149.04
2011-03-31,33.2,$-0.09,0.0
2010-12-31,32.9,$-0.06,0.0
2010-09-30,28.68,$-0.00,0.0
2010-06-30,27.46,$0.46,59.14
2010-03-31,24.94,$1.10,22.73
2009-12-31,21.39,$1.25,17.04
