Lucid Price to Free Cash Flow Ratio Historical Data,Lucid Price to Free Cash Flow Ratio Historical Data,Lucid Price to Free Cash Flow Ratio Historical Data,Lucid Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,2.69,,0.0
2024-06-30,2.61,$-1.25,0.0
2024-03-31,2.85,$-1.37,0.0
2023-12-31,4.21,$-1.63,0.0
2023-09-30,5.59,$-1.71,0.0
2023-06-30,6.89,$-2.08,0.0
2023-03-31,8.04,$-2.11,0.0
2022-12-31,6.83,$-1.95,0.0
2022-09-30,13.97,$-2.54,0.0
2022-06-30,17.16,$15.30,1.12
2022-03-31,25.4,$7.20,3.53
2021-12-31,38.05,$-2.00,0.0
2021-09-30,25.38,$29.34,0.86
2021-06-30,28.82,$-18.19,0.0
