Embraer-Empresa Brasileira De Aeronautica Price to Free Cash Flow Ratio Historical Data,Embraer-Empresa Brasileira De Aeronautica Price to Free Cash Flow Ratio Historical Data,Embraer-Empresa Brasileira De Aeronautica Price to Free Cash Flow Ratio Historical Data,Embraer-Empresa Brasileira De Aeronautica Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.3,,11.51
2024-06-30,25.8,$2.98,8.66
2024-03-31,26.64,$4.12,6.46
2023-12-31,18.45,$2.16,8.52
2023-09-30,13.72,$0.98,13.95
2023-06-30,15.46,$1.04,14.86
2023-03-31,16.37,$0.47,34.65
2022-12-31,10.93,$3.38,3.24
2022-09-30,8.6,$4.10,2.1
2022-06-30,8.78,$3.61,2.43
2022-03-31,12.61,$3.67,3.44
2021-12-31,17.75,$2.27,7.81
2021-09-30,17.0,$1.98,8.6
2021-06-30,15.14,$-3.48,0.0
2021-03-31,10.01,$-6.34,0.0
2020-12-31,6.81,$-7.51,0.0
2020-09-30,4.41,$-5.71,0.0
2020-06-30,5.98,$-0.63,0.0
2020-03-31,7.4,$1.88,3.93
2019-12-31,19.49,$3.31,5.88
2019-09-30,17.25,$-0.18,0.0
2019-06-30,20.13,$0.23,87.56
2019-03-31,19.01,$1.60,11.84
2018-12-31,22.13,$5.20,4.26
2018-09-30,19.58,$7.23,2.71
2018-06-30,24.89,$6.65,3.74
2018-03-31,25.89,$7.68,3.37
2017-12-31,23.81,$2.91,8.17
2017-09-30,22.41,$0.12,187.99
2017-06-30,18.03,$0.54,33.56
2017-03-31,21.64,$-4.21,0.0
2016-12-31,18.82,$-2.23,0.0
2016-09-30,16.88,$1.75,9.66
2016-06-30,21.21,$1.05,20.14
2016-03-31,25.68,$5.07,5.07
2015-12-31,28.73,$3.89,7.38
2015-09-30,24.84,$2.12,11.7
2015-06-30,29.36,$1.51,19.49
2015-03-31,29.73,$0.52,57.65
2014-12-31,35.58,$1.08,32.86
2014-09-30,37.66,$-0.92,0.0
2014-06-30,34.91,$-0.04,0.0
2014-03-31,33.81,$1.09,30.88
2013-12-31,30.57,$0.70,43.81
2013-09-30,30.7,$1.80,17.06
2013-06-30,34.81,$1.61,21.63
2013-03-31,33.51,$0.66,50.43
2012-12-31,26.72,$2.03,13.15
2012-09-30,24.86,$0.59,41.99
2012-06-30,24.64,$0.75,32.85
2012-03-31,29.5,$0.04,731.92
2011-12-31,23.26,$0.81,28.8
2011-09-30,23.4,$3.67,6.37
2011-06-30,28.16,$3.04,9.27
2011-03-31,30.57,$4.33,7.06
2010-12-31,26.56,$4.16,6.38
2010-09-30,25.24,$0.91,27.72
2010-06-30,18.58,$2.92,6.36
2010-03-31,21.0,$1.48,14.23
2009-12-31,19.38,$0.18,108.87
