Jazz Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Jazz Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Jazz Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Jazz Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,114.63,,7.67
2024-06-30,106.73,$14.95,7.14
2024-03-31,120.42,$14.69,8.2
2023-12-31,123.0,$14.82,8.3
2023-09-30,129.44,$18.15,7.13
2023-06-30,123.97,$20.46,6.06
2023-03-31,146.33,$21.04,6.95
2022-12-31,159.31,$19.87,8.02
2022-09-30,133.29,$17.56,7.59
2022-06-30,156.01,$14.93,10.45
2022-03-31,155.67,$10.86,14.33
2021-12-31,127.4,$12.58,10.13
2021-09-30,130.21,$12.68,10.27
2021-06-30,177.64,$12.97,13.69
2021-03-31,164.37,$15.70,10.47
2020-12-31,165.05,$15.65,10.54
2020-09-30,142.59,$14.12,10.1
2020-06-30,110.34,$15.33,7.2
2020-03-31,99.74,$14.49,6.88
2019-12-31,149.28,$13.04,11.45
2019-09-30,128.14,$14.99,8.55
2019-06-30,142.56,$13.57,10.51
2019-03-31,142.95,$14.23,10.05
2018-12-31,123.96,$13.50,9.18
2018-09-30,168.13,$13.13,12.81
2018-06-30,172.3,$11.81,14.59
2018-03-31,150.99,$10.82,13.96
2017-12-31,134.65,$10.83,12.43
2017-09-30,146.25,$10.52,13.91
2017-06-30,155.5,$9.71,16.02
2017-03-31,145.13,$9.67,15.01
2016-12-31,109.03,$9.42,11.58
2016-09-30,121.48,$8.38,14.49
2016-06-30,141.31,$8.94,15.81
2016-03-31,130.55,$8.95,14.59
2015-12-31,140.56,$7.87,17.86
2015-09-30,132.81,$7.94,16.72
2015-06-30,176.07,$7.19,24.5
2015-03-31,172.79,$6.12,28.23
2014-12-31,163.73,$5.93,27.61
2014-09-30,160.56,$5.23,30.71
2014-06-30,147.01,$5.39,27.27
2014-03-31,138.68,$4.52,30.69
2013-12-31,126.56,$4.52,27.98
2013-09-30,91.97,$5.04,18.26
2013-06-30,68.73,$3.62,18.99
2013-03-31,55.91,$4.75,11.76
2012-12-31,53.25,$4.05,13.15
2012-09-30,57.0,$3.24,17.57
2012-06-30,45.01,$3.52,12.79
2012-03-31,48.47,$3.09,15.68
2011-12-31,38.63,$3.21,12.03
2011-09-30,41.5,$2.90,14.31
2011-06-30,33.35,$2.31,14.43
2011-03-31,31.85,$2.54,12.54
2010-12-31,19.68,$2.05,9.61
2010-09-30,10.73,$1.06,10.08
2010-06-30,7.83,$0.67,11.75
2009-12-31,7.88,$-0.53,0.0
2009-09-30,8.02,$-0.39,0.0
