Vaxcyte Price to Free Cash Flow Ratio Historical Data,Vaxcyte Price to Free Cash Flow Ratio Historical Data,Vaxcyte Price to Free Cash Flow Ratio Historical Data,Vaxcyte Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,115.61,,0.0
2024-06-30,75.51,$-5.11,0.0
2024-03-31,68.31,$-4.70,0.0
2023-12-31,62.8,$-4.16,0.0
2023-09-30,50.98,$-3.32,0.0
2023-03-31,37.48,$-2.81,0.0
2022-12-31,47.95,$-2.72,0.0
2022-09-30,24.0,$-3.08,0.0
2022-06-30,21.76,$-2.18,0.0
2022-03-31,24.15,$-2.12,0.0
2021-12-31,23.79,$-2.18,0.0
2023-06-30,49.94,$-1.16,0.0
2021-09-30,25.37,$-2.35,0.0
2021-06-30,22.51,$-0.53,0.0
2021-03-31,19.75,$-1.90,0.0
