Grab Holdings Price to Free Cash Flow Ratio Historical Data,Grab Holdings Price to Free Cash Flow Ratio Historical Data,Grab Holdings Price to Free Cash Flow Ratio Historical Data,Grab Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.62,,28.46
2024-06-30,3.55,$0.13,27.91
2024-03-31,3.14,$0.05,66.24
2023-12-31,3.37,$0.01,306.36
2023-09-30,3.54,$-0.01,0.0
2023-06-30,3.43,$-0.15,0.0
2023-03-31,3.01,$-0.26,0.0
2022-12-31,3.22,$-1.87,0.0
2022-06-30,2.53,$-2.04,0.0
