AST SpaceMobile Price to Free Cash Flow Ratio Historical Data,AST SpaceMobile Price to Free Cash Flow Ratio Historical Data,AST SpaceMobile Price to Free Cash Flow Ratio Historical Data,AST SpaceMobile Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,28.49,,0.0
2024-06-30,11.61,$-2.70,0.0
2024-03-31,2.9,$-3.25,0.0
2023-12-31,6.03,$-3.27,0.0
2023-09-30,3.8,$-3.25,0.0
2023-06-30,4.7,$-3.04,0.0
2023-03-31,5.08,$-3.33,0.0
2022-12-31,4.82,$-3.93,0.0
2022-09-30,7.22,$-3.84,0.0
2022-06-30,6.28,$-3.86,0.0
2022-03-31,9.98,$-3.94,0.0
2021-12-31,7.94,$-2.61,0.0
2021-09-30,10.82,$-1.91,0.0
2021-06-30,12.94,$-1.10,0.0
2021-03-31,11.67,0,0.0
2020-12-31,13.58,$0.02,611.71
2020-09-30,10.07,0,0.0
