Zeta Global Holdings Price to Free Cash Flow Ratio Historical Data,Zeta Global Holdings Price to Free Cash Flow Ratio Historical Data,Zeta Global Holdings Price to Free Cash Flow Ratio Historical Data,Zeta Global Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.0,,75.59
2024-06-30,17.65,$0.40,44.47
2024-03-31,10.93,$0.37,29.54
2023-12-31,8.82,$0.35,25.34
2023-09-30,8.35,$0.33,25.18
2023-06-30,8.54,$0.31,27.15
2023-03-31,10.83,$0.27,39.4
2022-12-31,8.17,$0.28,28.93
2022-09-30,6.61,$0.36,18.42
2022-06-30,4.52,$0.33,13.64
2022-03-31,12.75,$0.28,46.18
