Price to Free Cash Flow Ratio Historical Data,Price to Free Cash Flow Ratio Historical Data,Price to Free Cash Flow Ratio Historical Data,Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,163.23,,49.24
2024-06-30,144.98,$3.31,43.74
2024-03-31,135.13,$3.09,43.77
2023-12-31,118.14,$2.62,45.02
2023-09-30,88.84,$7.76,11.45
2023-06-30,89.12,$-4.03,0.0
2023-03-31,113.5,$-5.59,0.0
2022-12-31,100.45,$-3.60,0.0
2022-09-30,87.54,$-11.28,0.0
2022-06-30,87.13,$-0.85,0.0
