Cavco Industries Price to Free Cash Flow Ratio Historical Data,Cavco Industries Price to Free Cash Flow Ratio Historical Data,Cavco Industries Price to Free Cash Flow Ratio Historical Data,Cavco Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,445.5,,21.92
2024-06-30,346.17,$20.32,17.03
2024-03-31,399.06,$24.68,16.17
2023-12-31,346.62,$26.09,13.28
2023-09-30,265.66,$27.31,9.73
2023-06-30,295.0,$29.61,9.96
2023-03-31,317.74,$23.91,13.29
2022-12-31,226.25,$22.16,10.21
2022-09-30,205.76,$20.06,10.26
2022-06-30,195.99,$15.09,12.99
2022-03-31,240.85,$13.70,17.58
2021-12-31,317.65,$13.08,24.29
2021-09-30,236.74,$10.06,23.53
2021-06-30,222.19,$8.24,26.97
2021-03-31,225.61,$9.55,23.63
2020-12-31,175.45,$12.71,13.8
2020-09-30,180.31,$13.47,13.38
2020-06-30,192.85,$12.18,15.83
2020-03-31,144.94,$10.13,14.3
2019-12-31,195.38,$8.30,23.54
2019-09-30,192.09,$5.51,34.84
2019-06-30,157.54,$-1.21,0.0
2019-03-31,117.53,$1.51,77.59
2018-12-31,130.38,$0.30,437.52
2018-09-30,253.0,$1.34,188.68
2018-03-31,173.75,$5.55,31.32
2017-12-31,152.6,$6.08,25.08
2017-09-30,147.55,$5.26,28.05
2017-06-30,129.65,$5.22,24.84
2017-03-31,116.4,$6.48,17.95
2018-06-30,207.65,$2.32,89.7
2016-12-31,99.85,$3.55,28.14
2016-09-30,99.05,$3.38,29.32
2016-06-30,93.7,$4.75,19.72
2016-03-31,93.46,$4.43,21.07
2015-12-31,83.31,$4.44,18.76
2015-09-30,68.09,$5.51,12.36
2015-06-30,75.44,$3.41,22.14
2015-03-31,75.06,$3.27,22.92
2014-12-31,79.27,$4.97,15.95
2014-09-30,68.0,$3.73,18.24
2014-06-30,85.3,$3.40,25.07
2014-03-31,78.45,$5.32,14.75
2013-12-31,68.7,$3.99,17.23
2013-09-30,56.95,$3.71,15.33
2013-06-30,50.45,$3.96,12.73
2013-03-31,47.57,$3.10,15.36
2012-12-31,49.98,$3.22,15.53
2012-09-30,45.89,$3.15,14.59
2012-06-30,51.28,$3.47,14.78
2012-03-31,46.58,$2.78,16.76
2011-12-31,40.06,$2.35,17.06
2011-09-30,34.44,$2.61,13.18
2011-06-30,45.0,$0.98,46.12
2011-03-31,45.16,$0.47,96.87
2010-12-31,46.69,$-0.90,0.0
2010-09-30,35.91,$-2.18,0.0
2010-06-30,35.18,$-0.99,0.0
2010-03-31,34.14,$-1.52,0.0
2009-12-31,35.92,$-0.99,0.0
