Clearwater Analytics Holdings Price to Free Cash Flow Ratio Historical Data,Clearwater Analytics Holdings Price to Free Cash Flow Ratio Historical Data,Clearwater Analytics Holdings Price to Free Cash Flow Ratio Historical Data,Clearwater Analytics Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.15,,54.42
2024-06-30,18.52,$0.50,37.12
2024-03-31,17.69,$0.40,44.56
2023-12-31,20.03,$0.40,50.64
2023-09-30,19.34,$0.37,52.27
2023-06-30,15.87,$0.29,55.32
2023-03-31,15.96,$0.28,56.2
2022-12-31,18.75,$0.27,69.24
2022-09-30,16.79,$0.22,74.76
2022-06-30,12.04,$0.10,115.0
