Brookfield Price to Free Cash Flow Ratio Historical Data,Brookfield Price to Free Cash Flow Ratio Historical Data,Brookfield Price to Free Cash Flow Ratio Historical Data,Brookfield Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,55.33,,0.0
2024-06-30,41.54,$-1.85,0.0
2024-03-31,41.87,$-1.70,0.0
2023-12-31,40.12,$-0.27,0.0
2023-09-30,31.27,$1.59,19.7
