Arcellx Price to Free Cash Flow Ratio Historical Data,Arcellx Price to Free Cash Flow Ratio Historical Data,Arcellx Price to Free Cash Flow Ratio Historical Data,Arcellx Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,95.27,,0.0
2024-06-30,55.19,$-0.72,0.0
2024-03-31,69.55,$-0.73,0.0
2023-12-31,55.5,$3.87,14.33
2023-09-30,35.88,$1.62,22.19
2023-06-30,31.62,$1.87,16.89
2023-03-31,30.81,$2.67,11.54
2022-12-31,30.98,$-2.79,0.0
