Lincoln Electric Holdings Price to Free Cash Flow Ratio Historical Data,Lincoln Electric Holdings Price to Free Cash Flow Ratio Historical Data,Lincoln Electric Holdings Price to Free Cash Flow Ratio Historical Data,Lincoln Electric Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,198.22,,19.23
2024-06-30,187.95,$10.31,18.24
2024-03-31,253.54,$10.76,23.57
2023-12-31,215.26,$10.75,20.02
2023-09-30,179.37,$9.90,18.12
2023-06-30,195.3,$8.42,23.2
2023-03-31,165.73,$6.79,24.39
2022-12-31,141.07,$5.36,26.32
2022-09-30,122.21,$5.40,22.64
2022-06-30,119.39,$5.00,23.87
2022-03-31,132.77,$4.98,26.68
2021-12-31,133.83,$5.15,25.99
2021-09-30,123.08,$5.43,22.68
2021-06-30,125.39,$5.18,24.21
2021-03-31,116.59,$5.30,21.98
2020-12-31,109.79,$4.98,22.06
2020-09-30,86.55,$4.75,18.21
2020-06-30,78.79,$5.30,14.88
2020-03-31,64.16,$5.59,11.48
2019-12-31,89.32,$5.48,16.31
2019-09-30,79.71,$5.08,15.7
2019-06-30,75.22,$4.76,15.81
2019-03-31,76.19,$3.90,19.55
2018-12-31,71.23,$4.18,17.03
2018-09-30,83.9,$3.93,21.36
2018-06-30,78.47,$3.66,21.42
2018-03-31,80.07,$3.61,22.2
2017-12-31,81.16,$4.13,19.63
2017-09-30,80.91,$3.99,20.27
2017-06-30,80.96,$4.25,19.07
2017-03-31,76.08,$4.61,16.52
2016-12-31,66.88,$3.87,17.28
2016-09-30,54.37,$3.86,14.08
2016-06-30,51.04,$3.68,13.88
2016-03-31,50.32,$3.23,15.59
2015-12-31,44.33,$3.54,12.54
2015-09-30,44.52,$4.12,10.81
2015-06-30,51.42,$4.63,11.11
2015-03-31,54.97,$4.86,11.31
2014-12-31,57.82,$4.32,13.38
2014-09-30,57.62,$3.85,14.97
2014-06-30,58.05,$3.55,16.37
2014-03-31,59.62,$3.60,16.54
2013-12-31,58.88,$3.18,18.5
2013-09-30,54.81,$3.06,17.92
2013-06-30,46.97,$2.36,19.9
2013-03-31,44.28,$2.07,21.38
2012-12-31,39.64,$3.28,12.08
2012-09-30,31.67,$3.01,10.53
2012-06-30,35.36,$2.92,12.12
2012-03-31,36.47,$2.30,15.89
2011-12-31,31.34,$1.52,20.59
2011-09-30,23.14,$1.38,16.81
2011-06-30,28.45,$1.07,26.47
2011-03-31,29.99,$1.20,25.06
2010-12-31,25.67,$1.25,20.56
2010-09-30,22.64,$0.91,24.9
2010-06-30,19.87,$1.54,12.92
2010-03-31,21.06,$1.88,11.23
2009-12-31,20.61,$2.49,8.26
