MINISO Price to Free Cash Flow Ratio Historical Data,MINISO Price to Free Cash Flow Ratio Historical Data,MINISO Price to Free Cash Flow Ratio Historical Data,MINISO Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.16,,53.32
2024-06-30,19.07,$0.28,67.08
2024-03-31,20.5,0,0.0
2023-12-31,20.4,$-0.38,0.0
2023-09-30,25.9,0,0.0
2022-12-31,10.73,$0.38,28.61
2022-09-30,5.49,$0.22,25.2
2022-03-31,7.62,$0.60,12.73
2021-12-31,10.1,$0.22,46.37
